	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Kif21b	1	0	0	1	2
Camsap2	0	0	2	1	0
Ddx59	2	1	0	0	2
Zfp281	1	0	0	1	1
Nr5a2	0	2	0	4	4
Ptprc	0	1	0	0	2
Nek7	2	0	0	4	4
2310009B15Rik	2	2	0	1	1
Dennd1b	0	1	1	1	1
Gm43544	0	0	1	0	0
Zbtb41	0	0	0	3	0
Cfh	0	8	6	28	25
Cdc73	1	4	0	1	3
B3galt2	0	1	1	0	0
Gm6397	0	0	1	0	1
Glrx2	0	5	1	1	3
Trove2	0	1	1	3	1
Uchl5	1	2	0	1	8
Rgs2	1	1	2	18	10
Brinp3	0	0	0	0	0
Pla2g4a	0	0	1	1	0
BC003331	0	1	0	2	2
Tpr	4	3	1	7	6
Prg4	0	0	0	0	1
Ivns1abp	1	2	3	6	13
Swt1	1	1	1	2	1
Trmt1l	2	2	1	2	1
Gm37893	1	0	0	0	1
Rnf2	0	1	0	2	2
Fam129a	0	1	1	1	3
Edem3	1	1	1	1	1
1700025G04Rik	1	0	0	0	2
Tsen15	0	1	1	2	5
Rgl1	0	1	0	1	3
Arpc5	2	5	1	3	5
Smg7	2	0	0	0	2
Nm0t2	1	2	1	0	0
Lamc1	0	0	2	2	4
Dhx9	1	4	2	5	4
Npl	1	1	1	0	0
Rgs8	2	1	1	0	1
Rgs16	1	4	4	0	8
R0sel	1	0	0	0	0
Teddm2	0	0	0	0	0
Glul	5	13	7	10	21
Cac01e	2	0	1	0	1
Ier5	0	0	0	2	0
Mr1	0	0	0	2	0
Stx6	1	2	3	2	2
BC034090	0	0	0	2	0
Xpr1	2	2	2	1	0
Acbd6	1	0	0	1	3
Qsox1	1	0	2	3	7
Cep350	0	1	0	1	1
Tor1aip1	0	0	1	2	0
Tor1aip2	0	1	1	4	6
Tdrd5	0	0	0	0	3
Axdnd1	0	0	0	1	1
Gm2000	2	2	3	10	8
Soat1	0	4	3	9	14
Gm10031	1	0	0	1	0
Abl2	1	0	0	0	8
Tor3a	0	0	1	1	2
Fam20b	1	0	2	0	2
Ralgps2	0	0	0	5	2
Angptl1	0	0	0	0	0
Rasal2	1	0	0	0	2
2810025M15Rik	0	1	0	1	2
Cryzl2	0	2	1	3	1
Brinp2	0	1	0	0	0
Astn1	2	2	0	2	1
Cop1	1	1	1	1	2
Tnr	0	0	0	1	0
4930523C07Rik	0	0	0	2	0
