	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Ppih	1	0	0	0	0
Ccdc30	0	0	0	0	0
Ppcs	0	2	0	0	0
Frg2f1	1	1	0	0	0
Foxj3	1	1	1	2	0
Hivep3	0	1	1	0	0
Scmh1	0	1	1	0	1
Ctps	1	1	0	3	1
Cited4	0	0	0	0	0
Nfyc	0	0	1	0	2
Rims3	2	2	2	1	0
Exo5	0	1	0	1	1
Smap2	2	1	0	1	1
Col9a2	0	0	0	1	0
Zmpste24	1	1	0	2	3
Rlf	0	0	0	1	0
Gm12892	4	1	0	2	3
Ppt1	1	4	1	5	2
Cap1	0	0	2	3	7
Mfsd2a	0	1	1	1	0
Mycl	0	0	0	0	1
Trit1	0	1	1	1	2
Ppie	1	3	1	4	0
Hpcal4	5	1	0	0	0
Heyl	0	1	1	0	1
Pabpc4	0	0	0	3	2
Macf1	6	3	2	6	11
Ndufs5	16	16	10	14	16
Akirin1	1	1	1	1	5
Mycbp	1	0	0	2	1
Rragc	2	3	1	5	7
Utp11	3	2	0	1	6
Sf3a3	1	1	2	5	5
Mtf1	0	0	0	2	1
1110065P20Rik	2	3	0	4	0
Yrdc	0	1	0	2	1
Maneal	1	0	0	0	2
Epha10	0	0	0	0	0
Cdca8	1	0	0	0	2
9930104L06Rik	0	0	0	0	2
Rspo1	1	0	0	4	2
Gnl2	0	1	2	2	2
Snip1	0	1	0	2	1
Meaf6	0	2	1	4	1
Grik3	3	0	1	2	0
Ftl2-ps	4	2	3	7	3
Mrps15	1	2	3	2	5
Oscp1	2	2	1	1	0
Rpl28-ps3	0	0	0	1	1
Lsm10	0	2	0	0	2
Stk40	1	0	1	1	1
Eva1b	0	0	3	1	3
Thrap3	1	0	2	2	2
Map7d1	3	2	2	0	5
Trappc3	3	8	2	4	6
Adprhl2	1	1	0	0	2
Ago3	5	1	0	1	2
Ago1	1	1	0	0	2
5730409E04Rik	0	1	0	2	1
Psmb2	9	4	3	8	5
Ncdn	5	4	8	3	3
AU040320	1	1	0	1	2
Zmym4	2	0	1	2	2
Sfpq	0	2	1	1	3
Gm12940	1	0	1	0	0
Zmym1	1	1	2	0	0
Zmym6	1	0	0	2	1
Tmem35b	0	0	0	1	1
Dlgap3	0	0	0	0	0
Smim12	7	2	5	3	4
Csmd2	1	0	0	1	1
Phc2	0	0	0	0	0
Zfp362	0	0	0	1	0
Trim62	0	0	0	0	3
Azin2	1	2	0	0	0
Ak2	3	3	2	3	5
Rnf19b	0	2	1	1	3
Hpca	6	6	2	3	5
Fndc5	1	2	2	0	0
S100pbp	0	0	0	3	3
Yars	1	2	1	1	4
Rbbp4	0	3	1	4	9
Zbtb8os	3	0	0	1	0
Bsdc1	1	0	1	3	1
Marcksl1	2	1	1	2	5
Hdac1	1	0	0	0	1
Lck	1	0	1	0	0
Fam167b	0	0	1	0	0
Eif3i	6	2	3	12	4
Tmem234	3	5	7	2	10
Iqcc	0	1	1	1	1
Ccdc28b	1	3	0	2	9
Txl0	3	0	1	1	0
Kp06	1	1	0	2	3
Tmem39b	1	0	0	1	0
Khdrbs1	4	0	1	6	4
Gm12967	0	0	0	2	0
Ptp4a2	1	7	7	8	13
Gm12966	0	0	0	0	0
E330017L17Rik	0	0	0	1	5
1700003M07Rik	1	1	0	0	0
Adgrb2	1	0	1	2	2
Col16a1	0	0	0	1	0
Pef1	6	1	1	4	4
Ti0gl1	0	2	0	2	0
Fabp3	6	3	2	8	9
Zcchc17	4	4	2	5	5
Snrnp40	0	1	1	1	3
Pum1	3	3	0	3	6
Sdc3	4	3	0	7	4
Laptm5	1	0	0	5	3
Ptpru	1	0	0	0	0
Mecr	0	4	0	2	2
Srsf4	0	1	0	1	1
Epb41	0	1	0	1	2
Ythdf2	1	1	1	1	0
Rps15a-ps4	0	0	1	0	2
Gmeb1	0	1	1	0	0
Taf12	1	0	0	1	1
Snhg12	2	4	1	0	1
Tr0u1ap	1	4	0	2	0
Rcc1	1	0	0	2	1
Snhg3	1	0	1	0	2
Phactr4	0	0	0	1	0
Sesn2	0	0	0	0	2
Atpif1	21	29	18	30	41
D0jc8	4	3	6	6	11
Eya3	1	0	0	0	0
Smpdl3b	0	1	0	1	2
Rpa2	0	3	0	1	2
Ppp1r8	1	0	2	0	1
Stx12	0	2	0	1	2
Fam76a	1	1	1	0	0
Ahdc1	0	0	0	5	0
Wasf2	0	0	2	6	2
Cd164l2	1	0	0	1	1
Map3k6	0	0	0	1	1
Tmem222	5	2	4	2	2
Wdtc1	0	1	0	0	3
Slc9a1	0	0	0	0	0
Trnp1	0	0	1	0	0
Nudc	7	2	2	5	6
Gpn2	0	0	0	0	0
Sfn	0	0	0	2	0
Zdhhc18	0	0	0	1	0
Arid1a	1	1	5	2	2
Hmgn2	3	5	1	3	7
Dhdds	2	3	0	1	0
Cd52	0	1	5	3	9
Ubxn11	1	1	1	2	2
Sh3bgrl3	3	7	2	8	4
Cep85	1	0	1	1	2
Zfp593	0	1	0	0	1
Grrp1	0	0	0	0	0
Extl1	0	2	1	0	1
Stmn1	8	8	11	16	13
Paqr7	3	2	0	2	1
Mtfr1l	2	1	0	6	6
Selenon	0	0	1	0	0
Tmem57	1	0	3	0	2
Tmem50a	12	7	3	17	8
Rsrp1	5	1	3	8	16
Syf2	3	3	2	4	4
Clic4	0	0	1	4	3
Srrm1	1	2	2	3	9
Rcan3	0	0	2	0	2
Nipal3	2	2	2	5	9
Srsf10	0	2	2	5	10
Pnrc2	1	4	2	1	7
Fuca1	1	4	1	3	8
Hmgcl	5	0	3	1	4
Gale	1	1	0	1	3
Lypla2	2	3	1	1	2
Pithd1	3	1	0	0	2
Eloa	0	1	1	2	1
Rpl11	29	33	25	80	89
Id3	2	5	1	13	11
Asap3	0	0	0	0	2
Tcea3	0	1	0	0	0
Hnrnpr	1	1	1	4	8
Luzp1	0	0	0	1	2
Kdm1a	1	1	0	1	2
Ephb2	0	0	0	1	1
C1qb	2	9	5	10	11
C1qc	0	3	0	2	5
C1qa	3	6	2	9	8
Wnt4	4	2	3	2	6
Cdc42	4	7	6	8	16
Rpl31-ps10	4	3	2	13	7
Hspg2	1	2	2	2	6
Usp48	0	1	0	3	1
Rap1gap	1	2	2	3	2
Alpl	0	0	1	1	0
Ece1	0	1	2	3	11
Eif4g3	4	2	4	5	4
Hp1bp3	5	6	0	7	9
Sh2d5	1	0	0	0	0
Kif17	1	0	0	0	0
Ddost	1	4	2	7	7
Pink1	7	2	1	4	8
Cda	0	0	0	1	1
Rpl38-ps1	0	0	0	2	0
Mul1	2	1	1	2	2
Camk2n1	2	2	0	3	5
Vwa5b1	1	1	0	0	0
Pla2g5	0	1	0	0	4
Tmco4	0	1	0	1	0
Nbl1	1	1	0	0	2
Minos1	11	15	9	21	21
Capzb	2	7	7	11	11
Pqlc2	0	0	1	0	0
Akr7a5	2	2	0	6	3
Gm24245	1	2	0	0	2
Mrto4	2	3	0	2	2
Emc1	1	4	4	2	5
Ubr4	1	5	2	5	4
Iffo2	2	1	0	0	1
Aldh4a1	1	2	0	5	2
Klhdc7a	0	0	1	1	1
Arhgef10l	0	1	0	0	0
Rcc2	1	1	2	1	3
Padi6	0	0	0	0	2
Padi2	0	0	1	0	0
Sdhb	9	7	8	18	20
Atp13a2	1	2	2	1	2
Mfap2	4	2	3	1	7
Crocc	4	3	2	2	3
Necap2	0	2	2	6	3
Szrd1	2	1	2	2	1
Fbxo42	8	0	1	1	1
Rsg1	1	0	0	0	0
Zbtb17	1	2	0	0	2
Spen	1	1	2	1	0
Slc25a34	1	0	0	2	1
Plekhm2	0	2	1	2	0
Ddi2	0	0	0	2	0
D0jc16	1	2	2	3	1
Casp9	0	1	1	0	3
Efhd2	1	2	0	1	1
Fhad1	2	1	0	1	0
Tmem51	0	0	0	2	2
Kazn	0	0	1	0	0
Prdm2	0	0	0	2	1
Pdpn	1	0	2	3	2
Dhrs3	2	3	0	4	11
Vps13d	0	2	2	3	5
Tnfrsf1b	0	1	0	0	5
Gm13226	0	0	0	1	1
Zfp993	1	0	0	1	1
Zfp991	0	0	0	2	1
Zfp984	0	0	0	0	1
Rps19-ps3	0	0	0	0	1
Zfp933	0	0	0	0	1
Miip	2	0	0	0	0
Mfn2	7	2	5	3	2
Plod1	1	1	0	2	1
2510039O18Rik	0	0	0	0	3
Clcn6	2	1	0	2	2
Chchd2-ps	1	2	2	3	0
Agtrap	0	2	1	1	5
Mad2l2	0	0	0	0	2
Fbxo6	0	2	1	3	1
Fbxo44	3	1	1	2	1
Fbxo2	1	0	0	1	4
Disp3	0	2	0	0	0
Ubiad1	0	0	1	0	1
Mtor	1	2	1	0	3
Exosc10	2	0	0	1	0
Srm	0	1	1	0	3
Tardbp	1	2	2	2	8
Casz1	0	0	0	0	0
Gm13205	0	0	1	0	0
Gm17029	1	0	0	0	0
Pex14	2	1	0	0	1
Dffa	0	0	2	1	0
Cenps	0	0	1	0	0
Rpsa-ps12	0	0	0	1	0
Pgd	2	2	2	5	8
Kif1b	2	4	5	3	6
Ube4b	3	7	2	0	2
Ctnnbip1	1	0	0	0	1
Clstn1	7	5	3	12	4
Pik3cd	1	0	0	0	1
Tmem201	1	0	0	1	2
Slc25a33	1	1	1	0	3
Spsb1	0	2	2	6	8
H6pd	0	0	1	2	1
Slc2a5	0	1	0	0	1
Eno1	22	24	16	15	24
Rere	5	5	6	4	1
Slc45a1	1	1	0	1	0
Rps15a-ps3	0	0	0	2	0
Errfi1	0	0	1	1	0
Park7	12	8	10	12	21
Tnfrsf9	1	0	0	0	1
Camta1	2	1	1	2	2
Per3	1	1	2	1	2
Vamp3	0	1	0	0	1
D0jc11	4	2	0	1	8
Thap3	3	2	0	1	5
Phf13	0	0	0	2	4
Klhl21	1	0	0	0	2
Zbtb48	0	0	1	0	0
Nol9	0	1	0	2	1
Plekhg5	1	3	0	1	0
Espn	0	0	0	0	1
Acot7	9	6	7	11	5
Gpr153	1	0	0	0	0
Icmt	0	1	0	0	2
Rpl22	4	8	7	17	35
Chd5	2	2	2	2	3
Kc0b2	2	1	1	0	0
Ajap1	0	0	0	0	1
BC039966	0	0	0	0	0
A430005L14Rik	3	0	2	2	1
Cep104	0	2	0	0	0
Lrrc47	2	3	0	1	0
Smim1	0	1	2	1	4
Wrap73	1	0	1	1	0
Tprgl	1	0	1	2	3
Megf6	0	0	0	0	0
Prdm16	0	0	0	1	0
Mmel1	0	1	0	0	1
Fam213b	8	4	3	9	9
Hes5	1	0	1	0	1
Pank4	0	0	0	0	0
Plch2	0	0	2	1	1
Pex10	0	0	0	1	2
Rer1	5	3	1	5	7
Morn1	1	1	0	0	2
Ski	3	4	1	5	2
Faap20	2	0	1	1	1
Prkcz	2	1	2	3	0
Cfap74	0	0	0	0	1
Gnb1	2	9	5	8	14
0dk	1	0	0	0	0
Cdk11b	0	0	0	5	4
Mmp23	1	0	0	0	3
Mib2	2	1	1	1	2
Fndc10	0	1	0	1	0
Ssu72	0	7	7	9	8
Tmem240	1	2	1	1	3
Atad3a	2	2	1	1	1
Vwa1	0	1	0	2	0
Tmem88b	0	0	0	0	0
Mrpl20	1	2	2	7	5
Ccnl2	1	4	3	5	3
Aurkaip1	6	2	4	5	2
Mxra8	0	1	2	1	2
Dvl1	1	0	2	1	0
Cptp	1	0	1	2	1
Ints11	0	0	0	0	2
Pusl1	0	0	0	0	0
Acap3	1	0	0	1	2
Ube2j2	1	0	1	0	0
C1qtnf12	1	0	0	1	1
B3galt6	0	0	0	0	1
Sdf4	2	3	2	3	7
Gm37090	0	1	0	2	3
Gm16008	1	0	0	0	0
Tnfrsf18	0	0	0	1	0
Agrn	1	1	1	0	1
Isg15	0	0	0	0	0
Plekhn1	1	1	1	3	2
Noc2l	2	0	1	2	3
Gm15772	14	13	9	39	44
Cdk6	0	1	1	2	1
Fam133b	0	0	0	4	3
Rbm48	0	0	0	1	0
Pex1	0	0	0	2	1
Gatad1	0	0	0	2	1
Ankib1	2	1	2	1	3
Krit1	0	0	1	2	2
Rps4x-ps	0	1	0	0	1
Mterf1a	1	0	0	0	0
Akap9	2	4	3	3	7
Cyp51	0	1	2	2	2
Mterf1b	1	0	2	1	0
Fzd1	0	0	0	2	1
Cdk14	0	3	0	1	1
Cldn12	2	0	0	0	1
Gtpbp10	0	0	1	0	2
Cfap69	2	0	0	0	0
Gm15459	2	4	1	9	10
Tubb4b-ps1	0	1	0	0	2
Steap4	1	0	0	2	2
Sri	1	4	4	5	8
Gm15730	0	4	1	0	0
Adam22	1	0	0	0	1
Slc25a40	0	0	0	2	0
Abcb1a	0	4	1	1	3
Abcb1b	2	5	4	5	6
Crot	0	0	0	0	1
Gm15610	2	5	2	0	1
Tmem243	0	1	1	0	2
Dmtf1	0	0	2	3	5
Gm4959	0	1	0	3	0
Sema3d	1	0	1	0	1
Gm10108	1	0	0	0	0
Pclo	3	2	4	2	3
Cac02d1	0	0	1	4	0
Sema3c	1	1	0	2	3
Cd36	2	7	2	3	5
G0i1	1	0	0	2	4
4921504A21Rik	1	0	0	0	2
Magi2	3	0	0	1	0
Tmem60	2	1	0	3	0
Rsbn1l	0	1	1	1	2
Ptpn12	1	1	0	1	0
Fgl2	0	2	0	2	5
Fam185a	0	0	1	0	0
Lrrc17	2	2	2	0	3
Armc10	0	1	0	0	1
Pmpcb	0	5	1	1	5
D0jc2	2	1	1	0	2
Psmc2	11	13	6	16	14
Reln	0	0	2	0	1
Gm15421	0	0	0	0	2
Rpl17-ps5	0	0	0	4	5
Gm6560	0	0	1	0	0
5031425E22Rik	0	0	0	1	2
Kmt2e	5	1	2	7	8
Srpk2	1	0	0	2	4
AI506816	0	1	0	2	3
Pus7	0	1	1	0	1
Rint1	1	0	0	1	1
Tomm7	10	6	3	11	15
Fam126a	1	3	0	4	1
Gm6745	0	2	1	3	10
Klhl7	0	0	0	0	1
Nupl2	0	1	0	1	1
Kcnh2	1	0	1	4	1
Nos3	0	2	0	1	0
Abcb8	0	1	0	0	2
Cdk5	8	11	4	7	14
Slc4a2	1	1	3	1	3
Fastk	1	0	1	1	0
Tmub1	0	1	0	0	2
Agap3	3	3	3	3	2
Abcf2	0	2	7	1	5
Gm10221	1	0	0	0	2
Chpf2	2	4	2	2	6
Smarcd3	2	3	2	2	10
Nub1	1	2	1	0	1
Gm26648	1	0	0	0	0
Crygn	0	0	0	0	0
Rheb	4	2	4	4	9
Prkag2	2	1	0	1	2
Galnt11	0	1	0	1	0
Kmt2c	0	1	1	2	2
Actr3b	0	0	1	1	2
Gm21680	0	0	0	1	2
Speer4a	0	0	0	1	1
Gm6089	0	2	0	4	1
Dpp6	3	0	1	1	3
Paxip1	0	1	0	0	4
Insig1	1	1	1	1	4
Rbm33	2	1	0	0	0
Rnf32	0	0	0	1	0
Lmbr1	2	0	1	1	0
Nom1	1	0	0	2	2
Ube3c	0	2	2	2	2
D0jb6	3	1	3	1	0
Tyms	0	2	0	0	4
Hadha	0	4	3	6	8
Hadhb	2	6	1	6	11
Selenoi	0	1	1	1	2
Drc1	0	0	0	0	0
Otof	0	0	0	1	0
Kcnk3	0	1	1	2	5
Slc35f6	1	0	0	0	2
Cenpa	0	1	1	0	3
Dpysl5	1	0	0	0	2
Mapre3	0	3	4	1	2
Gm19409	0	1	0	0	0
Tmem214	0	0	0	3	1
Agbl5	0	0	0	0	1
Ost4	6	6	6	7	14
Emilin1	0	0	1	2	0
Khk	0	0	0	0	4
Cgref1	1	0	0	0	0
Preb	0	1	1	1	2
Slc5a6	0	1	1	1	0
Atraid	5	5	2	9	3
Cad	1	0	0	1	0
Mpv17	0	0	0	0	1
Gtf3c2	0	0	1	5	2
Eif2b4	0	1	2	0	1
Snx17	3	4	3	3	8
Zfp513	0	0	0	1	0
Ppm1g	6	2	1	5	6
Nrbp1	3	2	0	6	3
Ift172	0	1	0	1	1
Fndc4	0	1	1	2	1
Zfp512	1	0	2	2	3
Gpn1	1	1	1	1	2
Supt7l	0	1	1	3	3
Slc4a1ap	0	0	0	0	1
Mrpl33	1	1	2	2	5
Babam2	2	1	0	1	1
Fosl2	1	0	3	11	9
Ppp1cb	2	4	3	3	6
Yes1	1	0	0	1	0
Pisd	2	1	0	2	2
Prr14l	0	0	0	3	0
Depdc5	2	1	0	3	3
Ywhah	7	9	5	2	4
Rpl35a-ps5	0	2	1	0	2
Ctbp1	4	4	1	1	5
Maea	2	2	5	9	8
Uvssa	1	0	0	0	1
Fam53a	2	0	2	4	3
Slbp	1	0	0	2	2
Tmem129	0	0	0	1	2
Tacc3	0	0	0	0	2
Fgfr3	0	1	0	1	1
Letm1	1	2	3	0	2
Gm10059	1	0	0	2	3
Nsd2	1	0	1	2	1
Nelfa	1	0	0	2	0
Gm1673	5	3	1	4	4
0t8l	3	2	7	1	3
Haus3	0	0	0	3	0
Mxd4	0	1	1	6	4
Rnf4	1	0	5	3	2
Fam193a	0	0	2	2	1
Tnip2	0	0	0	1	0
Sh3bp2	0	0	0	1	0
Add1	2	5	3	7	9
Mfsd10	1	0	1	3	1
Nop14	0	1	0	0	2
Htt	1	2	2	1	1
Rgs12	0	0	0	0	3
Dok7	0	0	0	3	0
Lrpap1	9	8	7	8	16
Adra2c	0	0	0	0	0
Acox3	1	0	0	2	3
Htra3	0	2	0	0	1
Ablim2	3	0	0	1	0
Afap1	0	0	0	0	1
Sorcs2	1	0	0	1	0
Grpel1	8	9	4	10	5
Tada2b	0	0	1	0	1
Tbc1d14	0	1	1	1	1
D5Ertd579e	0	0	0	1	2
Bloc1s4	0	0	0	1	0
Mrfap1	4	5	4	4	15
Man2b2	1	1	0	1	1
Ppp2r2c	4	0	2	2	0
Wfs1	3	0	0	0	0
Jakmip1	2	1	0	0	1
Crmp1	2	0	2	0	0
Evc	0	0	0	0	0
Evc2	0	0	0	1	1
Stk32b	0	0	1	0	0
Stx18	1	1	0	2	1
Nsg1	17	9	8	11	18
Zbtb49	0	0	0	0	1
Lyar	1	1	2	3	4
Tmem128	0	0	0	0	1
Wdr1	2	3	2	2	6
Hs3st1	1	0	3	2	4
Gm7816	0	1	0	1	0
Gm4754	3	3	3	1	3
Rab28	1	1	1	1	2
Bod1l	1	1	0	2	3
Cpeb2	0	0	0	1	2
Cc2d2a	0	0	1	2	4
Fbxl5	2	2	0	0	2
Cd38	0	1	0	0	0
Tapt1	0	0	0	2	2
E430021H15Rik	0	0	0	1	0
Ldb2	1	1	0	0	2
Qdpr	14	12	7	7	7
Lap3	2	1	0	5	4
Med28	6	11	4	5	10
Ncapg	0	0	1	2	0
Lcorl	0	0	1	1	2
Slit2	2	0	0	0	1
Kcnip4	1	0	1	0	0
Gm43829	1	0	0	0	0
Gm43318	0	0	0	0	0
Adgra3	1	1	1	1	1
Ppargc1a	2	0	0	0	0
Dhx15	1	1	0	3	2
Sod3	0	1	2	2	2
Ccdc149	0	0	0	0	0
Lgi2	6	5	1	4	6
A0pc4	0	4	0	3	7
Sel1l3	0	0	1	1	0
Smim20	1	2	0	5	2
Gm45495	0	1	0	0	0
Rbpj	0	0	1	1	2
Tbc1d19	0	0	1	0	0
Stim2	2	0	0	0	0
Pcdh7	0	4	0	2	2
Nwd2	0	0	0	0	0
Tbc1d1	0	0	1	0	1
Klf3	0	1	0	1	1
C230096K16Rik	0	0	1	0	2
Fam114a1	0	1	0	0	4
Klhl5	0	0	1	2	3
Wdr19	0	0	0	0	1
Rfc1	0	1	0	3	2
Rpl9	11	14	8	27	38
Lias	3	0	2	4	5
1110003F10Rik	0	0	0	0	1
Gm43311	0	0	0	1	0
Ugdh	0	2	1	0	1
Smim14	4	1	1	3	6
Ube2k	0	2	1	2	8
Gm40309	1	0	0	1	1
Pds5a	1	1	0	1	2
N4bp2	0	0	1	3	0
Rbm47	0	1	0	0	3
Apbb2	1	1	0	1	1
Uchl1	25	3	11	15	13
Limch1	0	1	1	1	1
Tmem33	0	2	1	7	5
Slc30a9	3	0	6	4	3
Shisa3	1	0	0	0	0
Atp8a1	0	2	0	1	1
Guf1	0	0	0	1	0
Gnpda2	1	0	1	0	3
Gabrg1	0	0	0	0	1
Gabra2	0	0	0	0	1
Gabra4	2	0	0	1	0
Gabrb1	2	2	0	1	3
Gm15616	0	3	1	4	5
Commd8	1	0	1	1	3
Atp10d	0	0	0	0	2
Zar1	0	0	0	0	0
Nipal1	0	0	0	2	1
Slain2	0	0	0	2	1
Fryl	0	0	0	0	5
Ociad1	9	16	6	12	17
Gm42732	0	1	1	0	0
Ociad2	0	1	1	1	0
Dcun1d4	2	1	0	1	1
Sgcb	1	1	0	2	0
Usp46	2	0	0	0	3
Dancr	0	0	0	1	1
Rasl11b	0	0	0	0	0
Scfd2	0	0	0	1	0
Fip1l1	2	4	3	4	4
Lnx1	2	0	0	0	0
Chic2	2	1	0	0	2
Pdgfra	0	0	0	5	2
Kit	0	1	0	1	2
Kdr	0	1	0	2	0
Srd5a3	0	1	0	0	1
Tmem165	0	0	1	0	1
Clock	1	0	1	0	2
Ube2n-ps1	0	0	0	0	1
Exoc1	0	0	0	2	0
C530008M17Rik	1	0	0	0	1
Aasdh	1	0	1	0	1
Ppat	1	1	1	2	3
Paics	3	2	1	2	5
Srp72	2	0	0	6	5
Hopx	1	0	0	0	0
Rest	0	0	1	0	0
Noa1	0	0	0	0	1
Polr2b	1	1	1	1	4
Igfbp7	3	10	7	11	11
Adgrl3	0	0	1	1	1
Rpl7-ps7	0	0	0	0	0
Epha5	0	0	0	0	1
Cenpc1	0	1	0	0	1
Uba6	4	0	0	0	1
Ythdc1	0	2	0	0	0
Gm5869	0	0	0	0	1
Csn1s1	3	0	14	0	0
Csn2	13	0	19	0	0
Csn1s2a	5	1	7	0	0
Csn1s2b	3	0	1	0	0
Csn3	5	0	6	1	0
Jchain	1	0	0	0	1
Utp3	0	0	2	2	4
Rufy3	0	0	1	1	1
Grsf1	2	1	0	1	2
Mob1b	0	0	1	3	2
Gm15682	0	0	0	0	0
Dck	0	1	0	0	0
Slc4a4	2	0	1	2	1
Eif5al3-ps	0	0	1	0	1
Cox18	0	0	0	2	1
Ankrd17	2	6	4	1	5
Alb	0	0	0	1	1
Pf4	0	1	0	0	2
Mthfd2l	0	0	1	0	0
Parm1	1	2	3	2	2
Rchy1	0	2	0	1	3
Cdkl2	0	0	0	0	0
Gm26582	0	1	0	0	1
G3bp2	3	1	2	1	6
Uso1	1	1	0	0	2
Gm15710	0	0	1	2	0
0aa	0	1	0	0	0
Sdad1	0	1	1	2	1
Art3	0	0	0	2	0
Nup54	0	0	1	2	0
Scarb2	2	3	2	4	3
Stbd1	1	0	0	1	0
Gm6450	0	1	2	0	0
11-Sep	1	1	1	4	5
Ccni	2	2	2	1	0
Ccng2	0	0	0	2	0
Gm5559	1	0	0	1	3
Cnot6l	0	1	0	4	7
Mrpl1	1	0	0	1	1
Anxa3	1	3	0	2	4
Gm33370	0	1	0	0	1
Bmp2k	0	0	0	0	1
Antxr2	0	0	0	0	1
Bmp3	0	0	0	2	0
Rasgef1b	0	0	0	0	0
Hnrnpd	4	4	1	3	5
Hnrnpdl	2	2	3	9	4
Enoph1	0	1	2	1	2
Tmem150c	2	0	1	0	0
Sec31a	1	1	1	1	2
5430416N02Rik	0	0	0	1	0
Cops4	2	4	2	3	7
Plac8	0	0	3	1	1
Coq2	0	2	0	1	1
Mrps18c	1	1	1	1	2
Abraxas1	0	1	0	0	2
Gpat3	0	0	0	0	1
Cds1	0	1	1	0	0
Wdfy3	2	2	0	1	1
Arhgap24	1	2	0	2	1
Mapk10	1	2	0	1	3
Ptpn13	0	1	0	1	1
Aff1	0	0	1	0	0
Klhl8	1	1	0	0	1
Hsd17b11	2	7	1	9	9
Nudt9	0	3	3	5	8
Sparcl1	29	9	13	24	26
Spp1	1	0	3	3	1
Pkd2	1	1	0	3	1
BC005561	0	0	0	1	3
D930016D06Rik	0	0	0	1	0
Gbp9	0	0	0	0	1
Gbp4	1	0	0	0	0
Lrrc8b	0	0	0	0	0
Lrrc8c	0	0	1	0	0
Lrrc8d	0	0	1	1	2
Rps15a-ps5	0	1	0	1	1
Zfp326	1	0	0	0	1
Gm28050	0	0	0	0	1
Zfp644	0	0	0	3	1
Cdc7	1	0	0	2	0
Tgfbr3	1	0	1	2	1
Gm42900	0	1	0	1	0
A830010M20Rik	0	0	0	0	0
Glmn	0	0	0	0	1
Rpap2	0	0	2	0	1
Evi5	1	2	0	1	3
Rpl5	14	15	15	50	57
Gm22270	0	0	0	0	0
Fam69a	1	1	1	0	1
Mtf2	1	0	1	1	3
Tmed5	0	0	2	3	2
Dr1	0	1	1	1	0
Pigg	0	0	0	0	1
Gm10419	0	0	0	0	1
Atp5k	14	18	6	16	34
Pcgf3	0	0	1	2	0
Gm10086	2	0	2	0	2
Cplx1	1	1	1	1	2
Gak	1	0	2	1	1
Tmem175	0	0	0	2	2
Dgkq	0	0	0	1	0
Idua	0	1	0	3	2
Fgfrl1	1	2	0	0	1
Crlf2	0	0	0	1	2
5430403G16Rik	0	1	0	0	0
Gm15446	1	0	0	1	1
Zfp932	0	0	0	2	2
Plcxd1	3	1	0	1	1
Gtpbp6	0	1	0	1	0
Chfr	1	1	0	0	0
Golga3	1	1	2	2	1
Ankle2	0	1	0	2	0
Pgam5	1	1	0	0	2
Pxmp2	2	0	0	0	2
Fbrsl1	0	0	0	2	0
Galnt9	0	0	2	1	0
Noc4l	0	0	0	0	0
Ddx51	0	0	0	0	0
Ep400	1	3	0	2	2
Pus1	1	0	0	0	0
Ulk1	1	1	1	1	1
Hscb	2	1	0	1	1
Chek2	0	0	1	1	2
Ttc28	1	0	1	1	1
Pitpnb	1	0	0	1	3
Miat	4	1	0	1	1
Crybb1	0	0	0	0	1
Tpst2	3	0	2	2	3
Tfip11	1	1	0	0	1
Srrd	0	0	0	3	1
Hps4	1	0	0	2	1
Asphd2	0	2	0	1	0
Sez6l	5	1	3	0	2
Grk3	0	0	0	1	1
2900026A02Rik	0	2	1	0	0
Sgsm1	2	1	1	1	3
Ficd	0	0	0	0	1
Sart3	1	3	0	0	1
Gm3511	0	1	2	7	6
Iscu	2	1	0	2	2
Tmem119	0	1	0	1	0
Selplg	2	2	0	2	1
Coro1c	2	3	2	1	4
Gm43336	0	0	0	1	0
Ssh1	2	0	1	0	2
Svop	0	0	0	0	1
Usp30	1	2	0	2	3
Alkbh2	0	0	1	0	1
Acacb	0	0	0	0	0
Myo1h	1	0	0	0	1
Kctd10	0	2	2	2	1
Ube3b	0	0	0	0	0
Mmab	1	0	1	0	1
Mvk	0	1	0	1	0
Fam222a	3	1	2	0	2
Gltp	0	0	1	0	1
Tchp	0	2	0	0	0
Git2	0	2	1	1	2
Ankrd13a	0	0	0	0	2
1500011B03Rik	4	5	4	7	3
2610524H06Rik	0	1	0	1	1
Oasl2	0	0	0	0	3
2210016L21Rik	4	4	4	2	4
Sppl3	0	0	0	3	3
Rpl37rt	1	0	0	4	3
Acads	0	1	3	2	3
Unc119b	0	0	1	1	0
Mlec	6	2	1	8	4
Cabp1	0	0	0	0	0
Pop5	5	1	0	4	5
Rnf10	0	3	2	0	1
Coq5	1	2	0	1	1
Dynll1	23	15	15	35	40
Gm13830	0	1	1	0	0
Srsf9	0	0	3	2	1
Gatc	0	1	0	0	1
Triap1	0	1	1	1	4
Cox6a1	31	29	36	63	81
Msi1	0	0	0	0	0
Gm24407	1	0	0	0	0
Pxn	0	0	0	0	1
Rplp0	14	12	21	59	56
Gcn1l1	1	0	2	2	3
Rab35	1	1	0	1	4
Bicdl1	1	0	0	1	1
Gm13841	0	0	0	1	1
Cit	1	2	2	3	0
Prkab1	0	1	0	2	0
Hspb8	0	1	2	0	2
Srrm4	1	0	0	0	0
Suds3	1	2	3	4	4
Taok3	3	2	0	0	2
