	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Tcf3	40	67	80	59	90	74	70
Atp8b3	0	0	0	0	0	0	0
Rexo1	35	47	62	42	83	62	57
Klf16	5	14	17	12	17	11	16
Gm26710	2	4	2	7	3	4	3
Abhd17a	61	78	91	72	100	80	79
Gm29093	1	3	2	1	0	1	1
Scamp4	0	0	1	1	1	0	0
Gm49322	0	0	1	1	0	1	0
Csnk1g2	57	102	86	68	101	81	87
Btbd2	42	58	69	41	63	68	57
Mknk2	54	50	65	64	69	74	71
Gm26541	0	1	1	1	0	0	1
Mob3a	10	20	32	15	22	23	23
Izumo4	24	33	31	37	44	44	27
Ap3d1	80	123	124	111	183	135	140
Dot1l	66	102	68	88	104	103	100
Gm17151	0	1	0	0	1	0	1
Plekhj1	62	117	144	123	156	137	129
Sf3a2	49	64	109	58	112	98	94
Amh	220	322	289	237	599	522	342
Jsrp1	11	15	12	9	15	19	13
Oaz1	674	1101	1215	980	1671	1381	898
Lingo3	1	0	1	0	0	1	0
Lsm7	252	382	414	346	537	464	438
Sppl2b	25	33	36	22	48	31	26
Tmprss9	0	0	1	1	4	2	0
Timm13	300	450	548	434	681	534	501
Lmnb2	16	29	29	19	40	14	25
Gadd45b	41	47	49	40	59	49	58
Gng7	6	6	7	8	10	10	7
Gm3828	0	0	1	1	0	0	0
Diras1	1	0	0	0	0	0	0
Slc39a3	20	44	55	26	54	46	32
Sgta	91	145	168	126	229	158	124
Thop1	46	69	87	44	71	65	70
Creb3l3	2	10	9	14	20	9	7
Map2k2	84	121	166	122	193	217	157
Zbtb7a	78	110	149	95	131	143	97
Pias4	45	73	77	61	82	56	69
Eef2	1427	2125	2085	1896	2802	2186	2048
Snord37	0	1	0	0	3	0	0
Dapk3	3	7	8	6	10	4	8
Atcayos	0	0	3	1	2	6	4
Zfr2	17	23	22	16	16	13	16
Matk	0	3	3	3	4	3	2
Mrpl54	145	273	317	232	411	334	185
Apba3	38	54	76	70	80	69	72
Tjp3	0	2	0	0	2	3	0
Pip5k1c	18	33	47	29	48	36	39
Gm16315	0	1	0	0	0	0	0
Cactin	23	36	40	36	36	39	36
Tbxa2r	0	5	6	3	18	5	5
Gipc3	0	0	1	0	0	1	0
Hmg20b	44	99	119	71	142	113	89
Mfsd12	10	19	14	21	29	23	19
4930404N11Rik	2	2	2	2	1	3	2
Fzr1	34	49	64	43	59	41	42
Dohh	10	16	26	25	28	23	17
Gm48551	1	2	3	1	2	0	1
Smim24	6	11	18	8	21	19	12
Nfic	131	198	226	142	238	217	163
Gm16104	0	2	3	4	9	4	3
Celf5	1	0	1	0	0	0	0
Gm16105	0	0	0	0	0	0	0
Ncln	54	79	85	76	113	82	77
S1pr4	1	2	2	0	4	1	0
G015	3	4	2	2	3	0	0
Gm16106	0	0	0	0	0	0	0
G011	59	103	97	89	116	108	107
Aes	278	394	513	450	889	606	426
Gm15917	1	4	4	5	13	2	3
Tle2	105	165	188	142	295	161	149
Tle6	80	101	103	85	157	142	107
BC025920	6	3	4	3	12	6	6
Sirt6	15	30	42	24	32	28	23
Ankrd24	52	65	75	45	83	55	64
Gm10778	9	11	16	13	16	13	11
Gm8112	0	1	2	0	1	0	1
