	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Las1l	79	117	109	80	172	120	109
Msn	125	254	202	149	200	244	200
Gm14925	2	0	1	1	2	4	8
F630028O10Rik	6	7	10	7	10	15	7
Vsig4	0	0	0	0	0	1	0
Hsf3	1	2	1	1	3	3	1
Gm14933	0	0	0	0	0	0	0
Heph	115	248	243	199	202	185	137
Rpl17-ps8	430	846	844	826	1195	1083	1004
Gm14935	0	1	1	1	1	1	1
Gpr165	1	4	2	1	4	2	3
Eda2r	4	12	16	7	12	9	9
Ar	241	343	352	264	403	390	282
Ophn1	31	46	33	23	50	44	26
Yipf6	34	66	53	58	93	78	68
Gm14813	0	0	1	0	0	0	0
Stard8	25	48	52	38	51	57	51
Efnb1	66	98	123	88	97	89	119
Gm14812	0	0	1	0	3	0	0
Gm14809	0	0	0	1	1	0	0
Gm14808	8	12	6	0	9	3	5
Pja1	165	243	316	231	304	221	244
Gm14816	0	1	0	1	0	2	1
Tmem28	1	2	1	0	1	2	1
Eda	1	7	6	5	8	7	5
Gm14829	0	0	0	0	0	0	1
Awat2	0	0	1	1	0	3	1
Igbp1	143	235	251	185	298	232	198
Gm6175	0	0	1	0	0	0	1
Pdzd11	69	140	143	108	203	161	130
Kif4	13	19	23	17	28	30	18
Gdpd2	27	46	50	37	69	53	59
Gm14866	0	0	0	0	0	0	0
Gm14902	0	0	0	0	0	0	0
Dlg3	46	69	58	53	68	86	61
Tex11	1	0	1	0	2	0	0
Gm9078	0	3	0	0	1	0	0
Slc7a3	1	1	1	2	3	1	4
Snx12	36	87	83	63	105	72	81
Gm14842	0	0	0	0	0	0	0
Foxo4	45	67	67	53	82	78	47
Il2rg	7	29	33	11	36	26	14
Med12	21	35	40	27	35	38	41
Gm21986	0	0	0	0	0	0	0
Nlgn3	3	2	1	1	2	1	1
Gjb1	0	3	2	5	0	0	3
Zmym3	70	121	115	122	171	159	107
Nono	249	462	444	381	583	470	432
Itgb1bp2	4	3	4	2	4	6	0
Gm14843	2	1	7	5	11	11	16
Gm6184	0	0	0	0	0	0	1
Taf1	65	88	103	84	117	93	95
Ogt	211	316	288	264	381	291	263
Gm14845	1	2	2	1	2	1	0
Gm9089	0	0	1	0	1	0	0
Cxcr3	4	4	5	1	4	3	4
Tpt1-ps6	20	36	29	16	29	25	45
Gm9095	0	0	0	0	1	0	2
Gm4779	3	3	5	1	3	0	4
8030474K03Rik	2	1	0	0	1	0	0
Gm9097	0	0	0	0	1	0	0
H3f3a-ps1	1	5	6	5	8	3	5
Nhsl2	20	31	34	31	43	41	44
Rtl5	5	4	5	2	7	10	5
Pin4	136	215	248	200	307	273	244
Gm16471	0	0	0	0	0	0	0
Ercc6l	5	11	10	6	11	7	9
Gm9103	1	2	3	1	1	1	6
Rps4x	1527	2322	2411	2208	3135	2710	2283
Gm14859	38	54	52	34	85	58	69
Cited1	23	32	41	30	277	95	37
Gm14858	0	0	0	3	1	1	0
Hdac8	26	47	39	42	44	35	32
Phka1	21	37	28	32	45	40	33
Gm14840	0	0	1	0	3	4	1
Gm9115	0	0	0	0	0	1	2
Dmrtc1a	1	1	0	1	0	1	1
1700018G05Rik	0	0	0	0	1	0	1
Pabpc1l2b-ps	0	0	0	0	0	0	0
Gm9143	1	2	3	1	0	6	4
Gm6206	3	12	15	8	10	12	9
4930519F16Rik	0	0	0	0	2	0	0
0p1l2	6	21	18	14	7	23	20
Chic1	15	40	36	30	28	26	23
Gm26952	0	0	0	1	0	0	0
Tsx	1	0	0	0	0	0	0
Tsix	1	0	9	5	8	9	1
Xist	511	779	941	793	1058	983	775
Gm27520	0	0	0	1	0	1	0
Gm14861	0	0	1	0	0	0	0
Rps12-ps1	9	24	25	17	30	28	29
Jpx	1	11	6	6	13	12	4
Gm9670	4	3	5	2	1	3	3
Gm9157	1	2	1	0	0	0	0
Ftx	9	21	24	16	25	15	12
Mir421	0	1	1	0	1	2	1
Gm38020	16	18	17	10	13	12	10
Gm9159	1	0	0	2	2	1	1
Gm27321	0	0	0	0	0	0	0
Gm14874	0	0	1	0	1	0	0
Slc16a2	61	120	126	153	269	226	159
Gm6222	3	12	4	6	4	7	7
Gm37956	0	1	0	1	0	1	0
Gm9164	1	0	1	0	1	1	0
Rlim	50	121	115	115	151	134	104
Gm14892	0	0	0	0	1	1	0
Nexmif	71	120	114	93	121	118	94
Mir672	1	0	2	0	0	2	2
Abcb7	27	34	45	38	56	62	32
Vcp-rs	28	61	55	46	76	62	51
Gm6238	1	1	0	0	1	1	1
Uprt	4	3	9	5	7	6	3
Zdhhc15	5	8	8	7	17	7	10
Gm14822	0	0	0	1	0	1	1
Magee2	1	1	2	0	3	2	1
Gm6285	6	9	12	11	22	11	17
Gm9673	0	0	0	1	1	0	2
5530601H04Rik	33	70	48	44	78	71	49
Pbdc1	54	86	88	70	117	107	92
Magee1	26	56	57	44	58	47	54
Gm6292	0	1	2	0	1	1	2
Rpl30-ps9	10	6	5	7	8	13	7
Rab9b-ps1	0	1	0	1	2	1	1
Gm7117	0	0	0	0	0	1	2
Fgf16	0	0	0	0	1	0	0
Atrx	203	408	390	340	469	403	304
Gm14853	3	5	6	1	4	3	4
Magt1	104	157	186	120	211	175	159
Cox7b	474	717	785	569	864	773	715
Atp7a	39	58	53	48	93	60	60
Tlr13	6	6	4	4	6	10	5
Gm14856	1	0	0	2	0	0	0
Pgk1	210	381	404	305	515	460	341
Taf9b	13	23	31	32	39	15	21
Fnd3c2	0	0	0	0	1	0	0
Gm14857	0	0	2	2	5	3	1
Cysltr1	1	3	1	2	7	7	2
Gm9200	0	0	1	2	1	1	0
Rtl3	0	0	1	0	0	0	1
Lpar4	10	29	19	14	18	14	13
P2ry10	1	1	1	0	1	1	1
P2ry10b	1	1	2	0	2	1	1
Gpr174	1	0	0	0	1	0	0
Gm5392	1	0	0	0	2	1	0
Itm2a	106	234	200	164	313	206	155
2610002M06Rik	17	43	48	36	55	44	41
Gm14849	0	0	0	2	0	0	0
Gm379	0	0	0	2	0	1	0
Brwd3	19	28	28	17	51	32	20
2810403D21Rik	14	28	18	23	27	24	20
Gm14870	0	0	1	0	0	1	0
Hmgn5	32	71	65	36	85	87	55
Sh3bgrl	109	232	209	194	256	233	164
Gm14869	1	3	3	1	2	2	1
Gm6377	0	2	1	0	2	0	0
Gm4784	0	0	0	0	0	0	0
Gm4991	0	2	4	2	3	1	2
Pou3f4	0	0	0	0	0	0	0
Rps6ka6	6	7	7	5	10	4	7
Hdx	6	5	6	2	10	7	1
Gm7340	0	0	0	1	0	0	0
Tex16	0	0	0	0	0	0	0
Gm6335	29	21	23	39	47	39	34
Gm5393	0	1	0	0	1	1	0
Apool	47	103	101	88	146	121	86
Satl1	0	0	0	0	0	1	0
Gm6418	2	0	0	0	1	0	0
Zfp711	4	28	26	17	17	9	22
Pof1b	0	0	0	0	2	0	1
Gm14922	1	0	0	0	1	0	0
Gm6429	0	0	0	0	0	0	0
Chm	25	43	46	50	59	56	40
Dach2	2	0	2	0	0	0	0
Gm4915	0	0	1	0	0	0	0
Gm7416	0	0	1	0	0	0	1
Klhl4	8	7	3	3	13	5	7
Gm1866	5	7	7	3	5	8	5
Gm7429	48	74	56	86	108	117	120
Gm5943	1	3	2	2	3	5	2
Gm16373	1	0	0	0	1	2	0
Gm5863	0	0	0	0	0	1	0
Gm14928	0	0	0	0	0	0	0
Pcdh11x	0	0	3	0	0	2	1
Gm14927	1	1	2	1	0	1	0
Gm4993	0	0	1	0	0	0	0
Gm5648	0	0	0	1	0	0	2
Gm4992	0	0	0	0	0	1	1
Gm16421	0	1	0	1	0	0	1
0p1l3	2	1	3	4	5	5	7
Cldn34c1	7	17	21	19	25	27	21
Rps12-ps22	0	0	0	2	0	0	0
Cldn34c2	0	1	0	1	0	1	0
Rps12-ps17	5	0	3	4	1	10	9
Rps12-ps13	0	0	1	0	0	2	1
Gm14970	1	1	4	0	3	1	0
Gm5403	1	1	1	2	0	0	3
Mdm4-ps	4	6	4	2	4	8	9
Diaph2	49	107	120	79	70	69	77
Gm14984	0	0	0	0	0	0	0
Gm7781	3	5	2	1	7	4	6
Gm7820	2	2	1	6	2	2	3
Pcdh19	5	5	9	5	4	4	5
Tspan6	66	151	143	134	188	162	125
4930570D08Rik	0	0	0	0	1	1	1
Srpx2	37	76	65	44	54	68	55
Sytl4	42	94	76	92	99	89	85
Cstf2	29	67	53	67	77	73	53
Nox1	0	0	1	0	1	1	0
Xkrx	3	2	1	1	2	0	1
Trmt2b	27	63	73	57	103	83	38
Tmem35a	58	89	118	71	157	81	82
Cenpi	5	9	10	12	16	15	8
Drp2	2	3	2	3	5	2	2
Timm8a1	25	38	53	42	66	51	61
Btk	2	6	4	5	4	5	3
Rpl36a	1175	1720	1792	1726	2283	2304	2097
Gla	8	26	23	16	38	25	17
Hnrnph2	102	180	209	168	231	188	157
Gm7857	5	6	2	3	8	9	3
Armcx4	13	21	18	18	26	30	21
Armcx1	51	85	87	84	98	86	75
Gm16397	7	13	15	9	10	9	3
Gm10344	0	1	3	3	0	1	0
Armcx6	38	63	97	64	83	51	74
Armcx3	56	101	159	89	143	92	104
Armcx2	69	158	232	125	192	139	162
Gm7222	2	3	0	0	1	1	0
Nxf2	1	1	1	1	2	2	0
Zmat1	33	51	38	44	58	55	48
3632454L22Rik	1	1	1	3	7	2	2
Tceal6	1	12	8	4	11	5	11
Tcp11x2	0	0	0	1	1	0	0
Tmsb15a	1	0	0	0	0	0	0
Gm15019	0	0	0	0	0	0	0
Gprasp1	76	140	159	118	139	123	105
Armcx5	14	42	25	44	41	52	34
Bhlhb9	37	89	89	69	122	89	70
Gprasp2	38	41	52	46	83	66	50
Arxes2	71	146	106	90	94	98	91
Arxes1	16	32	38	20	81	71	72
Bex2	31	40	47	31	53	43	64
Nxf3	4	7	8	13	6	5	5
Bex4	262	480	453	365	606	594	533
Tceal8	154	328	323	223	373	346	219
Tceal5	3	11	11	5	10	11	6
Bex1	112	194	168	133	232	218	177
Tceal7	0	0	1	0	0	0	0
Tceal9	1752	2975	3325	2398	3152	2792	2289
Bex3	259	455	543	397	623	550	412
Nsa2-ps2	1	1	1	4	2	1	3
Gm7973	1	0	0	0	1	2	0
Tceal3	19	38	35	11	24	28	27
Tceal1	29	53	52	48	90	55	52
Morf4l2	214	449	522	392	595	425	446
BC065397	15	21	27	15	18	17	16
Plp1	35	43	58	40	39	34	47
Rab9b	0	2	1	0	0	0	0
Gm6275	0	1	3	0	1	0	0
Tmsb15l	0	1	2	4	0	0	3
Tmsb15b2	6	20	13	6	15	9	20
Tmsb15b1	1	4	3	2	2	4	2
Slc25a53	7	11	15	11	35	18	16
Zcchc18	0	1	5	1	4	3	1
Fam199x	27	37	38	40	42	35	23
Gm8019	9	4	5	5	11	7	11
Gm5761	0	0	0	1	0	0	0
Gm14989	0	1	1	0	2	1	1
Nrk	3	8	7	8	11	7	2
Mum1l1	13	29	28	18	29	34	24
Platr21	0	0	0	0	1	0	0
Gm15002	0	0	0	0	1	0	0
Trap1a	0	0	1	1	0	0	0
Gm8061	0	0	0	0	0	1	0
D330045A20Rik	0	3	0	0	0	0	0
Rnf128	52	73	89	43	97	57	78
Gm6322	0	0	0	0	0	0	0
Tbc1d8b	15	50	45	38	32	39	18
Gm15013	26	20	28	27	34	38	38
Cldn2	0	2	0	2	0	0	0
Morc4	4	17	16	22	21	16	23
Rbm41	3	8	4	6	13	5	6
Nup62cl	4	8	15	12	10	6	12
Gm15046	1	0	0	0	0	0	1
Prps1	50	86	104	65	99	98	65
Tsc22d3	83	198	189	149	275	220	163
Gm22025	3	1	3	3	3	5	4
Mid2	24	33	27	27	64	61	30
Gm6088	0	0	0	0	1	0	0
Gm7091	2	3	0	2	1	1	3
Psmd10	79	147	153	114	175	166	122
Atg4a	17	30	38	29	49	35	27
Col4a6	13	14	17	16	17	24	13
Gm15079	0	0	0	1	0	1	1
Col4a5	53	98	87	78	109	107	69
Gm15268	0	0	0	0	1	0	0
Gm15294	0	0	0	0	0	0	0
Gm15298	1	0	0	0	0	1	0
Gm6368	19	30	22	21	25	16	37
Gm6373	0	0	0	0	0	1	1
Gm6382	19	23	23	24	31	34	42
Nxt2	11	25	21	22	36	30	20
Gm5643	2	2	6	4	6	6	5
Kcne1l	2	3	0	3	4	4	6
Acsl4	98	140	131	152	583	517	214
Gm7123	1	4	2	1	3	1	3
Gm4995	5	3	7	6	4	12	13
Gm15032	1	0	0	0	0	0	1
Gm5763	3	2	3	1	1	2	4
Tmem164	100	196	247	149	183	114	152
Mir652	1	0	2	0	3	1	1
Ammecr1	25	57	62	71	66	55	50
Gm4760	1	0	1	0	1	1	1
Chrdl1	6	14	9	13	18	16	13
Pak3	148	265	297	163	308	267	167
Capn6	3	7	0	1	3	1	4
Dcx	0	0	0	1	2	2	0
A730046J19Rik	0	0	1	1	3	5	1
Gm8199	0	1	0	0	1	0	1
Gm8202	0	0	0	0	0	0	0
Gm15067	1	0	1	2	3	7	3
Gm15066	0	0	1	1	0	1	1
Alg13	17	31	38	43	59	55	42
Gm2214	2	4	3	4	10	9	7
Trpc5	1	0	0	0	1	1	1
Rtl4	7	12	8	5	8	7	15
Gm26024	0	1	3	0	0	1	3
Gm8216	0	1	0	2	2	2	1
Lhfpl1	1	0	4	1	0	1	3
Amot	16	35	34	39	49	38	33
Gm5644	86	131	142	122	206	162	189
Gm15057	0	0	0	1	2	0	2
Gm4918	0	0	0	0	2	1	1
Hmgb1-ps2	23	34	39	39	51	41	34
Il13ra2	14	22	14	18	24	26	19
Lrch2	13	34	48	27	25	34	23
Gm25107	0	3	0	1	3	2	0
Gm8331	0	1	0	0	0	0	0
Gm5946	2	0	0	3	5	5	5
Gm15104	0	0	0	0	0	0	0
Tmem29	52	91	89	71	122	101	77
3110067C02Rik	0	0	0	0	1	1	0
Apex2	8	20	24	15	36	27	13
Alas2	2	5	6	8	8	16	6
Pfkfb1	5	5	6	4	7	2	2
Tro	10	9	11	8	17	17	13
Gm15131	1	0	1	0	0	2	0
Maged2	291	485	512	422	756	589	473
Gm24907	0	0	0	1	0	0	0
Gnl3l	39	55	59	52	71	60	46
Gm15152	0	0	0	0	1	0	0
Fgd1	37	38	46	40	41	37	25
Tsr2	43	75	74	57	106	76	91
Rps12-ps7	1	0	0	1	0	1	0
Gm15138	0	0	3	0	2	1	0
Wnk3	4	7	7	4	4	4	6
Rpl21-ps15	487	755	796	785	691	596	475
A230072E10Rik	1	1	2	0	2	2	2
Fam120c	10	8	18	16	21	7	19
Gm6451	2	8	5	0	4	3	4
Gm15148	0	3	2	0	1	3	0
Phf8	18	52	50	44	52	39	38
Gm5395	0	0	0	1	0	0	1
Gm15151	1	0	0	0	0	1	1
Gm4919	0	0	0	0	1	0	0
Huwe1	190	320	323	249	324	309	275
Mirlet7f-2	0	1	0	0	0	0	1
Mir98	0	0	0	0	0	1	0
Gm15191	3	5	5	2	2	7	6
Hsd17b10	285	508	594	459	666	561	502
Ribc1	3	3	2	3	10	7	4
Smc1a	129	210	218	181	255	229	206
Gm15267	2	0	1	0	0	0	1
Iqsec2	23	27	27	32	33	40	33
Kdm5c	70	114	140	91	152	127	101
Kantr	16	27	22	18	25	35	21
Tspyl2	52	81	92	64	131	66	61
Gpr173	5	11	12	8	15	9	5
3010001F23Rik	6	10	8	8	9	5	4
Gm4750	68	84	85	60	78	107	123
Gm8464	0	1	0	0	0	0	2
Shroom2	21	24	26	27	28	23	27
Gpr143	1	2	2	0	1	3	0
Rpl7a-ps12	0	1	0	0	0	0	0
Gm6472	25	45	47	37	112	100	56
Gm26035	2	0	1	0	0	1	3
Usp51	2	2	3	1	0	2	1
Mageh1	41	66	80	45	66	78	59
9530051G07Rik	1	1	0	0	2	0	0
Rragb	6	5	5	4	4	9	4
Klf8	9	13	6	6	3	10	11
Ubqln2	52	107	104	74	116	91	88
Gm8534	0	1	1	1	1	1	1
Kctd12b	18	31	19	17	37	40	21
Gm45022	0	0	1	1	1	1	2
Nbdy	80	147	159	121	223	176	116
Spin2c	28	63	41	40	77	105	41
Gm8577	0	1	0	0	0	2	0
Gm6645	0	0	0	0	0	0	1
Cldn34b2	0	0	0	0	1	0	0
Gm4997	8	6	3	3	3	7	9
Amd-ps1	0	1	2	1	2	0	2
Sat1	77	167	175	158	230	218	167
Acot9	41	50	71	42	89	92	83
Gm650	0	0	0	0	0	1	0
Prdx4	113	223	257	234	346	329	251
Gm8606	1	1	0	2	0	2	4
Ptchd1	0	0	0	1	0	0	0
Gm7312	1	1	1	1	3	2	1
Gm15163	2	7	7	0	9	0	6
Phex	2	21	17	16	15	17	15
Gm1947	0	1	0	0	0	0	1
Sms	40	53	59	52	87	55	46
Mbtps2	32	38	49	44	65	53	45
Gm6568	1	2	2	1	3	1	2
Gm8648	1	3	1	2	2	1	4
Smpx	33	67	71	27	100	86	32
Cnksr2	0	0	1	0	2	2	0
Gm8659	2	5	6	0	4	6	3
Gm8662	6	11	7	9	9	10	18
Gm5764	1	0	1	1	1	1	1
Rps6ka3	82	141	156	93	161	146	119
Eif1ax	148	210	219	188	301	257	199
Map7d2	2	4	4	4	11	4	5
Bclaf3	15	35	20	16	27	24	23
Gm15190	2	1	1	1	5	2	4
Gm15186	5	6	3	9	3	4	8
Sh3kbp1	34	60	55	45	64	56	37
Map3k15	0	4	3	4	2	4	0
Gm8682	0	0	0	0	0	0	1
Pdha1	80	167	135	120	212	174	133
Adgrg2	7	12	18	13	16	17	11
Phka2	23	53	47	30	40	44	38
Gm15243	0	0	1	0	0	0	0
Rs1	0	0	0	0	1	0	0
Cdkl5	19	29	29	28	39	25	18
Gja6	0	0	1	0	0	2	0
Scml2	4	7	10	8	12	5	5
Rai2	14	24	27	19	29	30	38
Nhs	13	27	15	20	30	24	17
Gm26317	2	1	0	0	1	0	2
Gm15204	0	3	1	0	2	1	3
Reps2	12	20	25	18	28	25	26
Gm7331	24	48	53	36	53	44	46
Gm8737	1	0	1	0	0	0	0
Gm15201	3	2	9	3	6	4	6
Rbbp7	472	817	803	615	991	772	669
Txlng	23	65	54	47	60	35	33
Syap1	59	80	86	82	126	95	82
Gm15209	0	0	1	0	1	0	1
Ctps2	66	123	129	114	154	98	109
S100g	1	20	12	34	11	10	98
Gm15212	0	0	0	0	0	0	0
Gm7199	1	1	1	1	3	1	0
Rnf138rt1	0	0	0	0	0	0	0
Ap1s2	16	41	47	29	39	38	36
Zrsr2	37	58	68	79	112	112	77
Car5b	8	11	16	10	28	32	23
Siah1b	4	13	11	14	20	20	13
Tmem27	1	0	0	2	1	2	0
Ace2	6	11	10	14	27	18	10
Bmx	2	7	1	4	2	3	7
Pir	27	37	40	17	39	43	20
Vegfd	6	15	24	15	26	22	13
Piga	28	58	40	22	32	27	24
Asb11	1	1	0	1	3	1	1
Gm15216	1	5	3	4	5	3	4
Mospd2	21	57	33	32	46	50	32
Fancb	4	3	5	2	9	7	0
Gm15236	2	0	0	0	1	1	1
Gemin8	14	33	28	13	31	35	29
Gpm6b	55	120	139	94	132	86	105
Ofd1	10	16	11	12	17	22	8
Trappc2	31	49	69	49	81	51	44
Rab9	70	143	105	91	191	123	100
Gm15223	0	0	1	0	0	0	0
Tceanc	8	10	9	8	21	13	4
Egfl6	12	32	28	14	30	19	17
Gm15226	0	1	0	1	1	1	1
Rpl7a-ps11	378	520	626	501	834	619	503
Gm8814	0	0	0	1	0	0	0
Gm8817	1	0	1	0	1	0	0
Gm15232	1	0	1	0	0	0	0
Tmsb4x	889	1491	1639	1148	1588	1487	1339
Tlr8	1	3	1	0	1	0	0
Tlr7	0	3	4	3	3	10	2
Prps2	33	66	70	78	123	106	68
Frmpd4	0	0	0	0	0	1	0
Gm8832	0	0	0	1	0	0	1
Msl3	52	80	91	67	91	74	59
Arhgap6	29	65	48	46	66	50	40
Gm15261	6	15	13	8	15	10	5
Amelx	0	1	0	0	0	0	0
Hccs	16	41	37	34	51	31	30
Gm15246	0	1	0	4	3	1	1
BC022960	1	3	2	0	2	5	0
Mid1	12	11	16	10	28	41	28
G530011O06Rik	0	17	3	6	4	6	1
Gm15726	0	0	4	3	0	4	0
Gm15247	1	10	9	5	6	5	6
Gm21887	53	121	81	72	39	93	65
Rps24-ps2	13	21	17	25	37	21	26
Gm2077	0	0	0	0	1	0	0
Gm8775	7	4	10	6	16	9	13
Gm6140	0	0	0	1	0	0	0
Gm17308	0	0	0	0	0	1	0
2700069I18Rik	3	1	0	1	0	1	1
Gm10748	1	0	0	0	1	0	0
Zfhx4	18	23	31	35	22	29	31
Pex2	74	145	184	106	228	132	119
Gm8797	8	31	43	12	50	27	18
Gm37350	9	23	45	21	44	33	34
Gm25144	0	2	0	0	0	0	1
Gm6162	1	0	0	0	1	0	0
Gm23147	0	0	1	0	3	0	0
Gm8823	2	1	3	1	4	9	6
Pkia	6	14	24	14	25	19	21
Gm8826	0	0	1	0	0	0	1
Zc2hc1a	27	51	56	49	69	48	54
Il7	4	6	8	4	11	9	11
Gm16685	2	0	5	0	0	0	1
Gm5841	1	4	3	3	5	4	5
Stmn2	2	3	10	17	16	13	16
Gm32496	1	0	0	0	3	1	1
Hey1	4	8	11	4	14	10	9
Mrps28	118	187	220	146	273	222	215
Gm15467	1	1	0	1	2	2	0
Gm15466	1	0	0	0	2	1	0
Tpd52	38	70	78	66	112	99	72
Gm37616	0	0	0	1	0	1	2
Gm8860	1	0	1	0	2	1	1
Zbtb10	15	39	33	18	31	40	28
C030034L19Rik	4	3	6	2	3	0	2
Zfp704	61	115	110	82	124	102	104
Gm38001	4	5	5	4	3	6	4
Pag1	8	15	10	6	18	5	5
Gm16337	0	1	0	0	0	0	0
Fabp5	151	295	335	206	342	287	316
Gm9833	2	6	5	4	6	7	5
Fabp4	39	47	222	29	154	281	320
Gm37421	5	8	7	7	8	11	8
Impa1	52	92	123	54	146	107	58
Zfand1	29	57	56	37	56	50	33
Chmp4c	2	6	6	4	2	7	7
Snx16	19	28	26	24	34	26	20
Gm37832	1	0	0	0	0	1	0
Gm10745	0	0	0	1	1	0	0
Gm38317	3	0	2	0	6	3	1
Gm37197	0	0	0	0	1	0	0
Gm37164	0	0	0	0	0	0	0
Lrrcc1	27	41	46	35	46	48	32
E2f5	31	39	48	38	42	50	46
1810022K09Rik	232	432	438	412	579	537	343
Car13	7	13	15	8	10	14	20
Car1	1	0	0	0	1	0	1
Gm16399	7	11	11	4	11	16	15
Car3	43	58	346	45	234	379	450
Car2	7	11	13	10	9	12	7
Gm9733	0	0	0	1	0	1	0
Sirpb1a	0	1	2	0	0	1	0
Sirpb1b	1	0	2	0	1	0	1
Sirpb1c	1	1	1	3	5	0	2
Gm5150	0	0	1	0	0	0	0
Ythdf3	60	121	139	117	162	138	124
Gm5844	72	103	130	88	188	104	99
Bhlhe22	0	2	1	0	3	4	2
Cyp7b1	6	7	15	8	15	9	6
Gm23686	0	0	0	0	0	1	1
Gm43834	0	0	0	0	4	0	1
Pgk1-ps3	0	1	0	0	0	0	2
Gm42944	0	0	0	0	0	0	1
Armc1	50	110	119	112	150	112	95
Mtfr1	49	84	115	74	151	88	92
Pde7a	26	41	36	25	50	42	53
D0jc5b	1	0	0	0	1	0	0
Gm6141	0	0	0	0	0	0	0
1700064H15Rik	1	1	0	0	2	0	3
Gm7442	0	1	1	2	6	4	2
4632415L05Rik	13	27	9	12	26	25	23
Cp	57	101	87	69	134	198	69
Hps3	15	25	36	25	22	26	21
Hltf	32	65	62	52	65	58	41
Gyg	76	102	114	106	167	126	131
Cpa3	5	2	3	4	8	7	11
Cpb1	0	0	0	0	1	0	0
Gm7488	8	12	10	9	13	11	23
Gm31693	0	0	1	0	1	0	1
Gm43674	0	0	0	0	0	0	0
Gm43672	9	8	11	7	9	12	2
Tbl1xr1	50	89	85	56	82	89	51
Gm5842	1	4	3	3	3	3	1
Rprl2	3	1	5	2	3	3	3
Gm37636	0	2	1	0	0	0	1
Spin3-ps	3	2	2	3	0	3	8
0aladl2	8	14	20	16	20	22	14
Gm7536	859	1275	1404	1219	1694	1492	1332
Gm42774	0	0	2	0	1	1	0
Gm10259	3	3	3	3	1	4	2
Nlgn1	2	3	4	6	6	4	3
Gm6197	13	15	15	12	21	22	23
Gm7558	3	1	1	2	1	5	3
Ect2	10	17	19	17	27	40	23
Nceh1	58	96	92	73	144	159	93
Tnfsf10	6	13	10	12	15	17	11
Fndc3b	164	363	298	280	376	384	251
Tmem212	0	2	1	1	0	3	3
Pld1	19	37	35	19	35	25	25
Gm37098	6	6	6	7	6	4	14
Tnik	19	29	32	24	34	31	18
Gm37537	0	0	0	0	1	2	1
Slc2a2	2	1	1	2	2	3	1
1700112D23Rik	1	2	2	1	3	3	1
Gm6505	0	0	0	1	0	1	3
Eif5a2	5	10	4	5	5	11	3
Gm32950	0	3	1	4	4	3	1
Rpl22l1	476	930	926	784	1248	1104	812
Gm37867	0	0	0	0	1	0	0
Egfem1	0	1	3	0	2	3	0
Mannr	0	1	1	0	0	0	0
Mecom	3	9	6	7	12	8	4
Mecomos	0	0	0	0	1	0	0
Gm38066	0	0	0	0	0	0	0
Gm38197	1	2	1	3	6	2	2
Gm37652	0	0	0	0	1	0	0
Mynn	32	62	50	45	67	54	46
Lrrc34	1	0	1	2	0	1	2
Lrriq4	0	0	1	0	0	0	0
Lrrc31	0	0	0	0	0	0	0
Samd7	0	1	0	2	3	2	0
4933429H19Rik	0	1	0	1	0	1	0
Sec62	321	565	558	498	788	673	554
Gpr160	4	4	6	1	9	2	2
Phc3	68	114	119	109	146	116	80
9530022L04Rik	0	0	0	1	0	0	0
Prkci	44	77	64	60	80	86	54
Skil	58	133	109	106	160	167	94
Cldn11	17	36	29	29	32	35	21
Slc7a14	4	0	4	3	6	3	1
Gm15496	0	0	1	0	1	0	0
Gm38025	37	51	68	34	74	65	46
Kcnmb2	1	2	1	3	10	6	1
Gm37834	1	0	0	1	1	1	1
Gm37770	0	0	0	0	0	0	1
Zmat3	20	34	35	42	40	23	31
Pik3ca	58	123	119	89	107	119	101
Gm37123	0	0	2	1	4	3	3
Kcnmb3	2	3	1	0	2	2	0
Zfp639	39	80	66	71	89	82	62
Mfn1	34	81	84	64	87	90	59
Gnb4	85	118	131	93	133	139	116
Actl6a	81	137	134	134	179	163	122
Gm37353	0	0	0	0	0	0	0
Mrpl47	60	111	130	94	147	121	100
Ndufb5	273	520	586	406	701	560	532
Usp13	0	7	5	1	6	1	5
Pex5l	0	1	2	2	2	1	2
Gm23214	1	1	1	0	1	0	2
Gm19445	0	0	0	0	0	0	1
Gm5845	10	12	10	12	15	12	18
Gm43666	0	0	1	0	0	1	0
Ttc14	89	137	131	119	155	147	113
Ccdc39	3	4	2	2	3	5	2
Gm43140	1	0	0	0	1	0	0
Gm9791	0	2	3	4	3	1	2
Gm43077	0	0	0	0	1	0	0
Fxr1	143	255	264	216	359	266	200
Gm43667	1	6	2	2	2	5	4
D0jc19	179	261	311	214	320	282	243
Gm43668	1	1	3	4	8	5	3
Sox2ot	0	0	0	0	0	1	0
Gm3143	3	8	4	8	10	10	8
Gm7733	0	0	1	0	2	0	0
Ube2l3-ps1	0	0	0	0	1	0	0
Atp11b	27	65	56	55	76	63	46
Dcun1d1	97	173	183	149	226	193	126
Gm15952	2	4	2	5	1	4	7
8430422M14Rik	3	2	3	5	8	3	8
Mccc1	51	102	115	81	152	91	65
Gm43080	0	0	0	0	0	1	0
B230207O21Rik	0	1	2	3	3	0	2
Mccc1os	2	1	1	0	0	0	0
Acad9	35	58	69	50	78	75	37
Gm43205	3	1	3	4	2	3	0
D3Ertd254e	21	33	32	28	36	43	30
Anxa5	405	741	853	617	937	739	673
1810062G17Rik	5	7	6	7	9	6	6
Gm11549	1	0	0	0	0	0	0
