	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Rev1	36	76	65	47	35	87
Gm37062	0	0	0	0	0	0
Aff3	11	37	52	21	24	48
Gm16150	0	0	0	1	1	0
Gm16152	1	2	4	2	1	4
Gm34727	0	0	1	0	2	0
2610300A13Rik	0	1	0	0	0	0
Lonrf2	0	1	2	1	1	1
Chst10	3	6	5	4	4	7
Gm6621	2	1	0	0	1	3
Pdcl3	143	319	297	168	142	242
Gm37309	1	0	3	0	0	1
Npas2	5	16	16	6	6	38
Gm20428	0	0	0	0	0	1
Gm3617	4	4	9	0	1	16
Rpl31	2383	4253	5149	2641	2237	2703
Tbc1d8	52	94	67	62	30	187
Gm37265	1	1	1	0	0	0
Cnot11	20	79	47	44	21	70
Gm15832	1	2	7	2	2	6
Snord89	3	4	5	1	5	1
Rnf149	58	119	95	84	64	166
Gm23722	1	0	1	2	0	4
Gm5100	0	2	5	0	0	8
Creg2	1	1	3	1	1	0
D930019O06Rik	0	2	0	0	0	0
Rfx8	1	1	0	1	0	0
Gm3646	0	0	1	0	0	1
1700066B17Rik	0	4	3	2	2	3
Map4k4	174	419	331	210	193	565
Il1r2	1	3	1	1	0	2
Gm16894	0	0	1	0	0	2
Il1r1	34	97	62	37	40	119
Gm38070	1	0	0	2	0	0
Il1rl2	24	36	19	10	18	52
Il1rl1	4	1	6	2	0	2
Il18r1	0	0	3	3	0	1
Il18rap	1	2	0	3	0	4
Slc9a4	0	0	0	0	1	1
Slc9a2	0	0	2	0	1	1
Gm37915	0	0	0	1	0	0
Mfsd9	3	13	12	5	7	13
Tmem182	1	3	2	1	1	2
Gm28175	0	0	1	0	0	0
Pou3f3	0	1	0	0	0	0
Mrps9	70	237	179	92	68	180
Gpr45	2	2	3	1	4	2
Tgfbrap1	31	57	42	24	13	68
8430432A02Rik	3	3	2	1	3	2
AI597479	28	75	57	38	19	62
Fhl2	66	152	147	56	44	122
Gm8210	7	24	9	26	17	18
Gm29610	0	0	0	1	0	5
Gm29041	1	0	1	0	0	0
Nck2	33	61	63	48	30	101
Gm37536	2	0	1	2	1	1
Gm38228	0	4	6	7	1	10
1500015O10Rik	5	8	8	4	6	6
Gm29155	1	0	0	0	2	0
Gm29156	1	0	3	0	0	1
Uxs1	38	143	129	68	50	131
Gm16103	1	3	3	4	1	3
