	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Gnpat	83	216	165	99	70	265
Exoc8	20	36	31	23	20	62
Sprtn	23	47	50	26	27	71
Egln1	52	102	74	52	48	131
Ts0x	94	214	208	110	96	222
Disc1	1	13	6	7	3	10
Sipa1l2	24	60	30	32	15	55
Map10	3	12	6	4	6	14
Ntpcr	30	97	87	47	31	65
Pcnx2	13	31	26	13	6	27
Map3k21	2	4	10	4	2	9
Kcnk1	11	53	68	28	8	52
Gm45875	0	0	0	0	0	0
Slc35f3	0	0	0	1	0	0
Coa6	54	161	68	52	49	86
Tarbp1	7	14	6	4	5	12
Gm6091	0	1	0	0	0	0
Gm26759	7	5	0	9	8	4
Irf2bp2	112	204	237	135	96	338
Gm31718	1	1	1	1	2	4
Tomm20	273	571	544	336	262	440
Gm26397	0	0	1	0	0	2
Rbm34	42	113	107	47	37	108
Gm38574	0	1	0	1	0	2
Gm5358	0	0	0	0	0	0
Pard3	47	138	81	72	48	160
Gm6921	0	0	1	0	0	3
Gm22968	0	0	0	0	0	1
Nrp1	203	478	383	248	178	392
Gm45746	1	0	1	0	0	0
Itgb1	405	882	760	494	354	955
Ccdc7a	0	0	0	0	0	1
2610044O15Rik8	19	66	49	42	21	38
Gm21399	32	76	94	55	27	186
Gm32856	8	16	24	9	6	20
Gm2897	0	3	3	0	1	1
Esd-ps	0	2	1	1	2	3
D830030K20Rik	1	0	1	2	1	1
Gm17222	1	0	0	0	0	2
Gm10409	0	0	1	0	0	0
Gm8324	0	1	2	1	0	2
Gm3002	0	1	0	0	0	0
Gm5796	1	0	0	0	0	0
Gm8108	0	1	0	0	0	0
2610042L04Rik	1	0	0	0	1	1
Gm3164	1	0	3	0	0	1
Gm3252	0	0	0	0	0	2
Gm3084	0	0	0	0	0	0
Gm3264	0	2	0	0	0	0
Gm8281	0	0	2	1	1	0
Gm3500	1	0	0	1	0	0
Gm3194	0	0	1	0	2	0
Gm3488	0	0	0	0	0	0
Gm3383	0	1	0	0	0	0
Gm3170	1	0	0	0	0	0
Gm8237	0	0	0	2	0	0
Gm17046	6	2	3	3	2	10
Gm3248	0	4	0	0	1	1
Gm8206	0	0	1	0	0	2
Gm17045	1	3	0	0	0	2
Gm3468	0	1	2	1	0	2
Gm3411	0	1	1	1	0	0
Gm3636	2	8	2	1	1	2
Gm3667	0	0	0	0	0	1
Gm10406	0	0	1	0	0	0
Gm3696	1	0	0	0	0	0
Gm3512	0	0	0	0	0	0
Gm5456	0	4	3	1	2	1
Gm3739	1	1	1	1	0	0
Gm8379	0	0	0	0	0	1
Gm3558	0	0	0	0	0	0
Gm17121	0	0	0	0	0	1
Gm10044	2	2	5	1	2	0
Gm16741	2	1	1	0	1	1
Gm8396	0	2	2	1	1	2
Flnb	93	159	140	91	63	199
D0se1l3	4	3	5	4	2	2
Abhd6	69	159	130	60	67	133
Rpp14	47	146	117	65	70	111
Pxk	68	175	151	73	49	178
Pdhb	136	390	304	157	159	300
Kctd6	6	24	11	13	13	21
Acox2	0	0	0	3	0	3
Fam107a	2	6	5	4	1	4
Oit1	0	0	0	0	0	0
Gm8416	0	1	4	2	2	2
4930452B06Rik	0	2	2	0	1	1
Gm9800	53	172	86	72	64	180
Gm48370	1	0	1	1	0	0
Fhit	5	11	24	6	6	9
Hmgb3-ps	0	1	0	0	0	0
Mnd1-ps	0	2	1	2	0	4
Gm48438	1	1	1	0	0	4
Gm48430	0	0	1	0	0	0
Gm48442	4	0	1	3	0	2
Slc25a5-ps	4	13	9	3	1	17
Rpl21-ps4	9	11	11	12	7	51
Gm3839	4	7	10	7	3	21
Ptprg	87	214	157	125	96	282
Gm48602	2	6	11	1	4	6
Gm48601	0	1	4	2	0	3
Gm48600	1	3	1	6	1	3
Gm3848	2	0	0	1	0	0
Gm48603	1	3	6	0	0	4
3830406C13Rik	40	86	87	49	35	99
D030051J21Rik	0	0	0	0	0	3
Cadps	0	0	0	2	0	0
Gm17805	0	4	3	3	3	17
Gm18077	7	0	2	5	4	15
Gm5457	6	3	8	9	6	13
Gm48515	0	0	0	0	0	0
Synpr	0	0	0	0	0	0
Sntn	0	0	0	7	0	6
Rpl19-ps4	0	3	1	1	2	10
Gm11100	0	0	1	2	0	0
Thoc7	177	444	342	235	199	334
Atxn7	42	111	82	71	52	128
Psmd6	186	379	334	218	193	350
Csnk2a1-ps1	0	0	0	0	0	0
Gm48857	0	1	0	0	0	0
Gm48860	0	0	1	0	0	1
Il3ra	12	49	37	18	12	70
Gm8483	0	2	3	1	2	2
Slc4a7	48	101	115	87	56	139
Nek10	3	4	15	11	5	9
AC117608.1	0	0	0	0	0	0
Lrrc3b	3	3	3	3	3	7
B230110C06Rik	0	1	1	0	0	0
Gm8514	0	0	0	0	0	0
Gm8517	4	1	1	2	0	0
Rpl31-ps3	0	0	1	0	0	3
Oxsm	17	53	51	27	17	34
Gm47794	0	1	1	0	2	0
Ngly1	50	142	124	90	68	122
5430414B19Rik	2	3	1	0	1	4
Gm47797	0	0	4	2	1	7
Gm47798	0	4	1	2	0	2
Gm48163	0	2	2	2	0	0
Top2b	105	282	199	152	125	285
Rarb	3	7	2	3	0	9
Tpi-rs9	0	0	0	0	0	1
Gm18078	7	11	7	7	6	26
Thrb	19	24	34	24	16	42
Gm48321	0	0	1	1	0	1
Nr1d2	54	130	139	90	61	174
Gm7084	1	7	5	2	0	2
Rpl15	1801	3647	2941	2151	1799	1952
Nkiras1	32	83	96	28	39	67
Ube2e1	129	270	187	134	110	286
Gm6781	5	20	6	3	11	14
Gm4939	0	0	0	1	1	0
Ube2e2	23	54	35	39	20	79
Gm8584	0	0	0	0	0	1
Gm5630	0	1	0	0	0	2
Gm21738	0	0	1	2	2	1
Gm2237	2	7	5	5	3	3
Nid2	78	155	155	82	68	162
Rtraf	224	527	398	282	185	365
D14Ertd670e	0	0	0	0	0	0
Gng2	41	74	62	48	25	80
Saysd1	32	99	65	37	35	71
Kcnk5	11	36	38	15	10	34
Nudt13	38	126	70	43	36	120
Ecd	42	179	132	78	49	172
Fam149b	38	100	95	45	28	81
Gm30054	2	3	1	0	2	2
D0jc9	56	156	146	93	69	117
Mrps16	134	355	276	165	118	222
Cfap70	1	4	1	1	3	2
7330404K18Rik	0	0	0	0	0	0
Anxa7	132	330	279	162	103	377
Mss51	2	6	5	2	4	10
Ppp3cb	79	213	138	99	69	218
1810062O18Rik	3	7	8	1	2	7
Usp54	16	30	34	25	18	50
2810402E24Rik	20	46	43	22	24	39
Myoz1	0	1	1	0	0	2
Synpo2l	2	0	0	0	0	1
Sec24c	120	248	245	167	116	298
6230400D17Rik	6	31	29	15	8	12
Fut11	59	148	92	79	56	145
Gm25328	0	0	0	0	0	0
Chchd1	172	419	269	199	144	236
Zswim8	50	147	122	64	50	171
Ndst2	28	75	66	43	15	104
Camk2g	177	541	407	219	170	584
Gm30108	2	3	5	4	1	2
Plau	49	167	92	75	63	67
Gm6128	0	0	2	0	0	2
Vcl	133	320	256	195	114	469
Ap3m1	73	182	141	88	66	196
Adk	101	273	264	133	119	225
Gm26372	1	0	0	0	0	0
Gm30363	0	0	0	0	1	0
Kat6b	44	104	92	61	39	101
Dupd1	0	1	0	1	0	0
Dusp13	0	0	0	1	0	0
Samd8	79	122	174	83	73	261
Gm23502	0	0	0	0	0	1
Vdac2	301	649	541	379	267	663
Comtd1	58	168	147	57	40	165
A430057M04Rik	3	8	4	2	1	12
Zfp503	58	160	74	76	55	208
C130012C08Rik	4	6	6	8	0	11
Lrmda	27	40	66	39	11	31
Gm7480	2	0	0	4	5	1
Gm7473	0	0	2	0	0	0
Gm47601	3	4	3	2	2	11
Gm10248	1	1	3	0	0	0
Kcnma1	52	104	63	73	62	180
5430425E15Rik	0	0	1	0	0	0
4930519K11Rik	0	1	0	0	0	3
CT025624.1	37	104	63	25	25	25
Gm6158	9	31	31	19	9	44
Dlg5	35	103	83	66	37	125
Gm49098	0	1	0	0	0	0
Gm17105	1	0	0	1	0	0
E330034G19Rik	14	49	39	26	12	24
Gm47814	1	7	3	5	1	6
Polr3a	24	50	37	24	25	51
Rps24	2543	3224	3979	3098	2745	3179
Zmiz1os1	4	9	4	4	0	10
Gm26660	18	23	48	18	12	46
Zmiz1	288	561	418	295	208	861
Gm47920	1	7	0	4	1	6
Gm47921	1	0	1	0	0	0
Gm26772	3	4	3	4	2	9
Ppif	18	76	46	21	18	57
Ppifos	1	0	0	0	1	1
1700054O19Rik	0	0	0	2	0	1
Zcchc24	45	141	88	66	47	164
Anxa11	34	115	80	51	48	46
Anxa11os	1	0	1	0	1	4
Plac9a	31	70	42	18	20	38
Tmem254a	9	18	19	8	3	5
Cphx1	1	1	2	1	1	0
Duxbl1	4	5	5	2	5	2
Gm2260	4	5	4	1	3	8
Gm9780	17	40	21	13	4	27
Tmem254c	40	66	51	37	27	94
Cphx2	0	3	2	1	1	5
Cphx3	1	1	1	2	3	1
Duxbl2	1	2	2	0	2	1
Gm2274	1	0	1	0	1	0
Plac9b	67	123	88	41	21	59
Tmem254b	118	225	143	99	73	168
Gm19015	1	0	0	0	0	0
Duxbl3	0	0	0	2	0	1
Gm34059	0	0	0	1	0	1
4933413J09Rik	3	5	10	2	5	2
Slmapos2	1	2	4	1	0	3
Slmap	103	165	126	115	61	211
Gm24031	0	1	1	1	0	0
Gm2178	2	3	7	0	2	21
Gm7565	8	25	12	8	9	25
Dennd6a	56	107	108	69	75	130
Arf4os	0	1	1	2	0	2
Arf4	244	676	449	337	207	592
Pde12	23	61	42	26	17	75
9930004E17Rik	1	0	0	2	0	0
D0h12	2	1	1	4	0	1
Appl1	67	146	121	86	72	170
Hesx1	1	0	0	1	1	0
Il17rd	12	43	31	19	8	35
Arhgef3	29	63	43	40	21	86
Gm7591	4	22	20	12	6	27
AC140462.1	0	0	0	0	0	1
Fam208a	65	114	105	73	60	154
Ccdc66	32	63	39	36	31	66
Erc2	3	9	3	3	3	8
Gm45645	0	6	2	0	0	1
Wnt5a	97	237	209	137	91	224
Gm2670	1	3	1	0	0	0
Gm18079	0	7	3	1	2	9
Cac02d3	0	4	3	5	1	1
Lrtm1	0	1	0	2	1	0
Gm48004	0	0	0	0	0	0
Gm6043	5	15	7	8	11	33
Gm47414	0	3	1	4	1	1
Selenok	469	1044	1242	523	453	735
Actr8	35	130	103	60	39	94
Il17rb	1	4	1	0	1	2
Chdh	4	4	7	3	2	5
Gm18760	0	0	1	1	0	0
Cac01d	7	12	33	13	8	13
Gm47570	0	1	0	0	0	0
Gm18072	0	0	0	0	1	0
Gm7621	2	5	8	3	1	6
Dcp1a	53	78	63	39	39	91
Tkt	350	743	695	456	301	1085
Prkcd	104	250	199	107	73	343
AC154646.1	1	3	4	0	0	3
Rft1	43	99	86	53	38	74
Sfmbt1	26	61	53	33	25	73
1700087M22Rik	0	0	0	0	0	0
Gm15667	0	2	1	0	3	0
Tmem110	17	44	36	14	20	58
Mustn1	27	63	54	21	12	75
Itih4	1	1	2	1	0	1
Itih3	3	5	1	5	0	4
Itih1	0	0	0	0	0	0
Nek4	18	57	32	33	22	47
Spcs1	368	894	709	408	312	667
Glt8d1	57	168	149	91	40	191
Gnl3	118	268	155	153	123	283
Pbrm1	252	469	416	301	213	737
Gm49094	0	1	1	2	0	1
Gm5459	2	3	5	5	1	10
Smim4	100	192	240	81	78	159
Nt5dc2	26	109	68	28	22	128
Stab1	105	331	192	105	88	219
Nisch	259	616	521	291	225	751
Tnnc1	4	6	10	0	0	12
Sema3g	56	90	131	52	42	91
Phf7	7	33	24	10	10	25
Bap1	51	190	150	79	60	233
D0h1	1	6	3	7	2	5
Capn7	84	134	147	83	78	172
Sh3bp5	133	333	205	166	112	442
Gm49252	1	1	0	0	0	1
Mettl6	23	47	48	33	26	77
Eaf1	52	140	98	61	44	141
Gm49270	0	2	0	0	0	3
Colq	0	1	0	0	0	0
Hacl1	2	8	11	9	3	12
Btd	72	201	208	89	58	147
Ankrd28	50	104	116	54	39	116
Gm49308	3	0	1	3	1	2
Gm49309	1	1	0	1	1	5
D830044D21Rik	1	0	1	2	0	0
4930425P05Rik	0	5	1	4	0	2
Galnt15	18	64	82	27	13	60
Dph3	92	321	234	106	104	167
Ox0d1	29	88	69	38	26	77
Ncoa4	61	169	92	78	51	85
Timm23	124	421	236	183	130	232
Gm23946	0	1	0	0	0	0
Parg	32	79	79	36	30	78
Gm49196	0	0	0	0	0	0
Gm7707	0	1	0	0	1	1
Gm46447	1	1	2	0	0	0
Gm48914	3	13	10	6	3	2
Ogdhl	5	6	15	6	1	14
1700024G13Rik	0	1	0	4	0	4
Ercc6	17	50	38	35	17	37
3425401B19Rik	12	18	2	2	7	39
Gm28651	1	0	0	0	0	1
1810011H11Rik	7	10	10	3	2	9
Fam170b	0	1	0	0	0	0
Vstm4	52	155	135	53	36	109
Wdfy4	8	16	13	10	7	7
Lrrc18	0	2	2	3	1	3
Gm6340	0	1	1	0	1	0
Arhgap22	8	18	22	4	6	27
Gm15512	0	0	0	0	0	1
Mapk8	49	110	81	70	50	124
Gm49037	0	0	1	1	0	0
Gm46448	1	0	2	1	1	8
Frmpd2	0	0	0	0	0	2
Gdf10	5	23	15	10	7	14
A630023A22Rik	1	3	0	0	0	2
Anxa8	0	1	7	13	0	10
Gm7778	0	0	1	1	1	2
Npy4r	1	1	0	0	0	1
Rpl23a-ps3	302	431	449	356	295	486
Gprin2	0	2	2	5	1	4
Gm49168	0	0	0	0	0	0
Syt15	4	14	15	3	3	9
Gm49201	1	3	3	1	2	1
Fam35a	4	28	23	12	13	25
Gm49202	0	1	0	0	0	2
Glud1	189	405	337	224	155	534
Gm3219	1	10	7	7	3	34
Fam25c	1	4	0	1	1	0
Sncg	3	13	12	5	2	9
Mmrn2	45	128	133	53	37	125
Bmpr1a	91	212	175	103	101	328
Gm17110	2	0	0	0	1	3
Gm48953	0	2	3	1	1	2
Ldb3	8	15	8	6	8	11
Gm49024	3	3	20	3	1	2
Gm49025	0	0	1	0	0	0
5830448L01Rik	8	14	25	6	6	20
Wapl	111	226	291	121	98	345
Gm49032	0	5	4	1	0	0
Grid1	0	3	4	3	1	1
Ccser2	131	241	135	111	102	227
Gm47885	0	0	1	0	0	0
2610528A11Rik	1	0	1	1	0	0
Ghitm	389	806	728	487	372	906
Eif1-ps1	7	6	10	8	5	38
Sh2d4b	1	1	3	0	1	1
Tspan14	45	111	122	58	49	165
Fam213a	61	188	237	105	65	147
Dydc2	0	1	1	0	0	2
Gm47547	168	416	373	218	189	223
Dydc1	0	1	1	0	0	0
Mat1a	0	1	2	0	1	4
Sftpd	0	1	0	2	1	5
Gm22823	0	0	0	0	0	0
Gm7995	0	1	1	0	0	0
Cdv3-ps	0	0	0	1	0	2
Gm21154	0	1	0	0	0	2
Gm7324	20	50	47	30	23	47
Gm6526	0	1	0	0	0	1
AC154806.1	0	0	2	0	0	0
Gm49081	0	1	0	0	0	0
Gm49083	25	78	76	48	38	95
Ear1	0	0	0	1	0	1
Gm8113	29	55	49	26	23	55
Gm9550	1	3	2	1	1	7
Gm49101	0	1	1	0	0	0
Ear2	5	3	6	8	3	6
Gm6532	1	8	3	3	3	3
AC160336.1	9	7	8	5	4	24
Gm16439	1	9	12	4	2	7
Gm17173	1	2	1	0	0	0
Ptger2	25	34	38	42	19	58
Txndc16	16	51	52	22	20	54
Gpr137c	3	10	10	4	2	4
Ero1l	16	58	43	33	22	70
Psmc6	279	502	433	358	249	462
Styx	38	79	69	53	38	96
Gnp0t1	46	125	101	67	49	96
Fermt2	202	500	465	256	175	375
Gm22637	2	2	1	0	2	0
9630050E16Rik	14	20	20	11	11	22
4930527F14Rik	3	6	3	3	1	0
Gm41144	0	0	0	0	0	0
Gm5206	0	1	0	0	1	1
Gm49123	0	0	0	0	1	2
Gm15601	1	0	0	3	0	0
Ddhd1	30	59	79	42	34	86
Gm49125	1	4	12	4	4	3
A530076I17Rik	0	0	6	0	0	1
Gm7206	63	98	96	58	33	326
Gm15516	39	43	58	26	18	73
Gm8317	2	8	1	4	1	20
Gm6580	1	5	5	3	0	4
Gm1821	662	1951	1277	759	657	1191
Bmp4	13	31	22	22	9	18
Gm15222	1	2	3	0	4	0
4933425B07Rik	1	0	0	1	0	1
Cdkn3	17	51	51	26	19	29
Cnih1	192	486	375	236	201	451
Gm48933	0	2	0	1	1	5
Gmfb	89	220	145	107	87	314
Gm10101	3	4	2	2	3	6
Cgrrf1	33	142	92	61	39	100
Gm48949	2	0	1	0	0	0
Gm34934	1	6	3	3	1	5
Samd4	22	44	40	14	17	57
2810457G06Rik	0	0	2	2	0	0
Gm48958	4	4	3	4	4	5
Gm15562	0	0	0	2	0	2
Gm10371	0	3	1	1	0	3
Gch1	31	72	126	37	17	188
Gm49134	1	1	0	0	0	0
Gm18811	0	0	2	2	0	1
Wdhd1	16	34	31	25	14	30
Socs4	42	79	52	31	31	129
Gm9502	2	1	1	2	2	7
Mapk1ip1l	71	127	112	82	64	234
Gm49189	2	1	1	0	2	3
Gm49190	2	1	3	2	0	2
Lgals3	169	446	286	305	195	399
Dlgap5	17	49	20	19	8	42
Gm48975	0	0	2	1	0	0
Fbxo34	31	57	66	25	26	86
Gm48986	2	0	4	4	0	1
Gm35166	2	10	6	0	3	8
Atg14	24	48	39	25	28	60
Gm49004	0	1	0	0	0	0
Gm6616	3	9	9	6	4	5
Ktn1	170	383	304	195	148	438
Gm49303	0	0	0	0	0	0
Gm49306	0	1	0	1	0	1
Gm6055	9	34	22	12	15	14
Peli2	22	70	51	22	20	70
Gm49310	0	1	2	0	2	0
Gm49307	2	10	12	6	1	11
Gm18962	0	0	0	0	0	1
Gm3534	1	6	5	2	3	12
Tmem260	42	93	82	45	38	112
AC164437.1	0	4	4	3	1	0
Gm49096	0	0	1	0	1	0
4930572G02Rik	0	0	0	0	0	2
Gm48909	1	5	6	4	2	5
Gm25380	1	1	0	2	2	1
Exoc5	91	198	228	115	89	298
Gm49204	5	3	5	5	3	1
Ap5m1	18	70	46	45	36	70
Rpl19-ps3	2	6	6	4	3	3
0a30	40	91	58	45	37	128
Gm48935	0	0	0	0	0	0
1700011H14Rik	0	0	1	0	1	0
Slc35f4	0	0	0	0	0	0
3632451O06Rik	17	17	9	7	7	18
Gm16082	4	3	2	2	3	5
Gm37194	0	0	0	0	0	0
Olfr727	0	0	0	0	0	2
Tlr11	0	0	2	2	0	1
Olfr742	0	0	0	0	0	0
Gm18762	0	2	1	0	0	0
Olfr748	0	0	0	0	0	0
Ttc5	55	110	104	64	41	91
Gm10916	5	7	6	5	5	17
Ccnb1ip1	0	0	0	0	0	0
Rpph1	10	2	5	9	3	6
Parp2	61	165	150	94	66	96
Tep1	37	97	71	48	44	83
Gm26782	66	127	150	78	61	155
Klhl33	1	6	3	1	3	3
Osgep	99	348	326	144	112	214
Apex1	99	314	188	143	93	231
Tmem55b	32	92	71	30	23	163
Pnp	27	128	61	27	19	176
Gm49342	0	0	0	0	1	0
Pnp2	2	8	7	2	3	4
Gm8518	1	2	2	0	0	1
R0se10	0	2	1	2	0	0
R0se4	102	299	176	118	117	239
Ang	11	29	14	15	9	22
Eddm3b	0	0	0	0	1	0
R0se6	0	6	1	2	4	6
R0se1	1	0	5	1	0	0
Ang2	0	0	0	0	0	2
R0se2a	0	0	0	1	0	0
Gm7106	0	1	0	0	0	0
Gm7107	0	2	1	0	2	0
Ang4	0	0	0	0	1	0
Mettl17	17	56	39	30	13	49
Slc39a2	3	4	2	0	1	5
Ndrg2	156	457	310	169	142	523
Arhgef40	68	170	85	85	65	183
Gm16617	2	2	0	3	1	1
Zfp219	22	85	67	20	23	76
Tmem253	7	11	14	11	9	3
Gm49086	0	0	0	0	0	1
Gm49256	0	2	0	1	0	0
Gm22354	0	1	1	0	0	1
Gm8586	1	0	0	1	1	6
Hnrnpc	353	953	774	359	332	631
Rpgrip1	20	26	31	16	13	56
Supt16	51	142	102	75	45	116
Gm26590	3	9	5	1	7	4
Chd8	133	224	210	152	108	340
Snord8	4	3	5	9	2	6
Gm43766	7	12	4	4	5	8
Rab2b	30	81	58	43	39	73
Gm23758	0	2	0	0	0	0
Tox4	66	164	138	74	67	157
Mettl3	48	128	99	44	36	117
Sall2	21	69	45	45	21	56
Gm4742	2	12	10	3	3	18
Trav11d	0	1	0	0	0	0
AC126250.1	8	25	12	10	8	65
Rps19-ps2	59	129	93	81	49	386
Trav14d-3-dv8	0	0	0	0	0	1
Gm6755	1	2	5	2	1	3
Trav9n-2	0	2	0	2	0	0
Rps19-ps1	2	1	0	0	0	1
Trav9n-4	0	0	0	0	0	0
Trav7n-6	0	0	0	0	0	1
Trav15-1-dv6-1	0	0	0	0	0	0
Trav9-2	1	0	0	0	1	0
B230359F08Rik	0	0	0	0	0	0
Trav21-dv12	0	1	0	0	0	0
Gm43647	0	1	0	0	0	0
Trdv2-2	1	0	0	0	0	0
Trdv4	3	4	6	1	2	1
Trdj1	1	0	0	0	0	0
Trdc	1	6	0	0	1	4
Traj28	0	0	0	0	0	0
Traj27	1	0	0	0	0	1
Traj19	0	1	0	0	0	0
Traj18	0	0	0	0	0	1
Traj12	1	0	0	3	0	1
Traj2	0	0	0	0	0	0
Trac	1	15	1	4	2	8
Dad1	506	1159	817	559	441	759
Abhd4	179	489	480	219	158	502
Gm43305	20	26	27	27	14	30
Gm43304	0	0	0	0	0	0
Oxa1l	108	276	245	139	88	221
Slc7a7	17	42	34	26	15	39
Mrpl52	249	640	542	322	254	470
Mmp14	219	424	285	254	166	514
5430430K15Rik	0	0	0	1	0	3
Gm10366	1	2	2	1	0	9
Lrp10	98	261	191	104	68	356
Rem2	0	0	0	0	0	1
Prmt5	50	182	143	72	63	186
Haus4	26	80	60	40	26	65
Ajuba	19	45	33	22	20	84
4931414P19Rik	7	26	24	6	6	21
Psmb5	458	1054	1240	599	452	1061
Psmb11	0	1	0	0	1	0
Cdh24	0	5	3	2	3	0
Gm17606	0	0	0	0	3	2
Acin1	202	541	413	225	153	450
Mir6948	0	0	0	1	0	0
4930579G18Rik	1	2	5	0	4	4
1700123O20Rik	81	229	248	103	77	151
Gm29776	0	1	3	0	0	2
Cebpe	0	2	0	1	1	4
Slc7a8	85	216	166	94	67	244
Rnf212b	0	0	0	0	2	1
Gm8865	3	11	2	0	2	20
Homez	10	20	26	8	7	42
Ppp1r3e	6	17	19	7	6	40
Bcl2l2	67	136	117	81	70	165
Pabpn1	93	221	216	120	70	320
Slc22a17	48	147	119	42	32	117
Efs	13	26	19	16	6	35
Il25	3	0	3	0	1	0
Cmtm5	1	13	1	0	0	3
Myh6	1	2	4	1	2	1
Myh7	0	3	7	2	2	2
Ngdn	63	188	210	87	75	135
Gm10364	0	0	0	0	1	0
Zfhx2os	0	1	0	0	0	2
Zfhx2	8	32	20	23	9	45
Thtpa	6	23	13	17	8	0
Ap1g2	18	65	38	15	15	47
Jph4	0	7	1	3	1	0
Dhrs2	0	1	1	0	0	3
Gm49021	0	0	0	0	0	3
Gm8894	8	25	22	13	10	36
Dhrs4	115	211	275	131	107	142
Carmil3	2	15	16	4	4	15
Cpne6	0	0	0	1	0	0
Pck2	104	242	242	117	86	253
A730061H03Rik	0	3	0	0	2	0
Dcaf11	85	259	308	120	74	327
Gm15932	2	0	0	0	0	0
Fitm1	1	5	7	0	0	2
Psme1	273	581	652	315	217	744
Emc9	34	93	139	37	39	107
Psme2	228	640	440	300	213	527
Rnf31	17	62	48	24	13	51
Irf9	58	110	124	87	46	186
Rec8	14	21	21	14	10	23
Ipo4	51	136	89	66	39	265
Tm9sf1	63	168	146	76	63	40
AC174678.1	3	12	8	7	3	8
Tssk4	0	3	2	1	2	2
Gm49299	0	1	1	1	0	0
Mdp1	134	333	295	173	126	246
Nedd8	387	1012	753	440	328	681
Gmpr2	59	190	139	67	60	105
Tinf2	36	92	57	43	19	66
Gm49067	0	0	2	0	0	0
Tgm1	0	2	1	0	0	0
Rabggta	29	73	56	38	23	92
Dhrs1	85	220	176	113	83	158
Nop9	40	89	87	46	30	121
Cideb	1	1	0	2	1	2
Ltb4r1	5	10	9	2	5	7
Adcy4	15	40	36	10	5	43
Ripk3	6	23	18	8	4	16
Nfatc4	18	47	27	25	15	52
Nynrin	20	48	37	20	18	36
Gm26751	5	8	4	4	2	8
Cbln3	1	1	1	0	0	2
Khnyn	23	48	41	38	21	90
Sdr39u1	31	95	73	46	23	75
Cma1	7	11	30	6	6	9
Gm48934	0	0	0	1	0	2
Gm5801	0	2	0	3	1	1
Mcpt2	0	0	1	0	0	0
Mcpt4	4	3	7	2	1	3
Mcpt8	0	0	0	0	0	3
Gzmc	1	7	0	0	0	4
Gzmb	6	20	2	11	4	11
Gm48200	0	0	1	0	0	0
Atp12a	337	183	261	97	88	190
Gm10873	5	1	1	3	1	1
Rnf17	4	10	6	5	4	7
Cenpj	17	26	32	20	16	43
Gm22431	0	0	1	0	1	1
Parp4	40	76	57	34	35	102
Gm16573	2	1	6	4	1	1
Gm4032	2	16	11	3	1	12
Mphosph8	112	325	245	154	127	254
Gm16973	10	19	15	9	12	35
Pspc1	29	84	81	32	34	74
Gm4479	1	0	0	0	0	0
Zmym5	73	206	166	117	76	308
2410022M11Rik	5	12	11	3	6	22
Gm48906	0	1	0	0	1	0
Gm8983	1	2	2	2	3	1
Zmym2	54	142	123	74	67	168
Gjb2	0	1	0	1	0	1
Gm8996	0	2	0	2	0	6
Cryl1	68	150	179	73	80	129
Gm8971	2	9	10	3	2	53
Ift88	15	58	50	13	12	38
Ift88os	0	0	0	0	0	0
Il17d	0	4	4	1	3	10
Eef1akmt1	105	248	191	124	103	157
1700039M10Rik	0	0	2	0	0	0
Xpo4	46	132	123	66	48	168
Lats2	42	101	72	61	36	154
Gm26440	1	2	0	0	0	3
Gm20430	26	25	33	27	26	131
Sap18	161	486	336	210	177	412
Ska3	6	19	9	12	6	18
Mrpl57	254	609	541	268	201	466
Zdhhc20	129	321	254	194	175	448
Micu2	64	201	150	105	72	299
3110083C13Rik	2	7	8	0	2	4
Fgf9	0	3	5	2	0	1
Gm33321	2	0	2	0	0	1
Gm9022	0	1	1	0	0	0
Rpl13-ps3	31	65	38	35	20	225
Gm48453	0	1	0	0	0	0
Rcbtb1	59	92	90	76	48	141
Gm6904	0	1	2	0	1	0
Phf11a	1	1	4	0	3	6
Phf11b	4	6	13	2	2	14
Phf11d	31	47	44	32	24	64
Phf11c	2	9	7	7	4	8
Setdb2	10	15	10	6	9	19
Gm16301	1	0	5	0	0	4
Cab39l	48	113	89	64	37	87
Cdadc1	50	149	126	78	49	137
Shisa2	4	6	2	2	5	10
Atp8a2	3	6	7	1	3	2
Gm9013	0	2	0	1	2	8
Gm6913	9	8	16	6	5	14
Nupl1	0	1	0	0	0	1
Gm49336	41	99	64	41	38	92
Gm47694	1	1	2	1	1	3
Mtmr6	59	106	101	54	39	144
Amer2	0	1	1	3	1	1
Spata13	66	102	76	52	39	85
C1qtnf9	1	8	0	0	0	2
Mipep	18	46	47	26	25	76
Tnfrsf19	21	43	14	39	22	42
AC124555.1	0	0	0	0	1	0
Sacs	11	42	22	21	18	33
Sgcg	0	1	1	0	0	0
Arl11	0	11	7	9	4	2
Gm5461	0	0	1	0	0	0
Ebpl	60	163	123	121	72	114
Kp03	53	115	86	55	32	105
Gm49298	2	0	0	0	0	0
Rps12-ps2	0	2	4	4	3	9
Spryd7	49	82	80	45	32	78
Gm4118	1	1	4	2	1	5
Trim13	20	42	21	18	19	45
Dleu2	62	133	146	85	72	179
Kcnrg	0	4	1	3	0	4
Gm27010	9	8	7	9	6	8
Gm27845	2	3	1	0	1	0
Gm26916	10	11	11	7	7	13
Gm27747	4	1	2	3	6	1
