	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Emg1	152	478	243	388	374	363
Phb2	178	812	544	894	803	674
Gm23547	2	0	0	0	0	0
Gm15884	0	0	0	0	0	1
Ptpn6	10	59	35	40	97	28
Grcc10	236	575	549	594	537	502
Gm45234	0	0	1	0	0	0
Atn1	20	60	22	37	44	32
Eno2	7	10	6	11	6	7
Lrrc23	0	1	0	0	1	1
Spsb2	44	109	88	132	119	108
Tpi1	442	1152	764	1026	871	794
Usp5	102	240	205	236	224	165
Cdca3	34	121	107	76	92	89
Gnb3	4	4	16	7	8	3
P3h3	81	168	128	138	138	134
Gpr162	0	2	1	1	2	1
Cd4	1	6	3	3	7	1
Lag3	3	6	12	16	9	16
Ptms	218	462	301	302	367	290
A230083G16Rik	0	1	0	2	0	0
Mlf2	97	393	363	454	477	378
Gm32536	0	0	1	0	0	0
Cops7a	104	368	262	364	285	288
Pianp	0	1	3	0	5	1
Zfp384	40	103	93	73	75	56
4930557K07Rik	1	1	1	0	0	0
Ing4	1	1	5	5	4	7
Gm44597	1	1	1	1	1	1
Acrbp	12	24	39	26	21	20
Lpar5	0	4	1	0	1	1
2010008C14Rik	1	0	0	1	0	0
Chd4	237	597	426	524	516	372
Gm23751	4	2	1	0	0	0
Nop2	29	92	64	103	88	63
Iffo1	24	68	69	45	56	39
Gapdh	1443	2856	2149	2632	2319	2153
Ncapd2	40	125	94	87	89	76
Mrpl51	269	577	576	626	553	520
Vamp1	15	52	35	39	26	31
Tapbpl	29	66	60	56	48	44
Cd27	35	64	102	123	90	77
Tuba3a	3	12	8	11	4	5
Ltbr	52	170	132	148	146	139
Scnn1a	0	2	1	0	2	3
Tnfrsf1a	153	414	291	287	285	249
Plekhg6	0	1	1	0	0	0
Cd9	163	383	234	315	359	328
Gm28809	2	9	7	7	10	5
Gm26728	0	0	0	1	0	0
Vwf	12	54	39	28	32	30
Ano2	0	1	1	1	0	0
Gm16303	0	0	0	0	0	0
Ntf3	2	0	1	3	0	2
Gm44431	1	2	2	0	1	0
Kc05	2	12	6	8	2	3
Gm45869	1	1	0	1	1	0
Kc01	1	0	1	0	2	0
Kc06	0	1	0	2	1	0
Ndufa9	161	472	378	477	418	361
1700018A23Rik	0	0	0	1	1	0
Dyrk4	0	0	1	1	1	0
Rad51ap1	13	28	25	18	17	16
Gm17808	0	1	0	0	0	0
D6Wsu163e	15	47	29	43	35	26
Gm43124	0	1	0	0	4	2
Tigar	5	21	14	21	23	7
Platr31	0	0	0	0	0	0
Gm43126	1	0	0	1	1	0
Ccnd2	361	859	703	799	753	538
9330179D12Rik	2	6	1	3	2	2
Tpi-rs11	5	13	5	7	9	3
Gm4968	3	6	5	4	6	3
Gm7308	0	2	1	3	4	1
Gm34091	4	2	7	7	4	1
Parp11	28	53	66	58	60	59
Gm43633	2	6	2	3	1	1
Cracr2a	13	24	14	15	6	15
Prmt8	1	0	0	0	0	1
Gm38901	0	0	0	1	0	0
Tspan11	63	200	33	179	162	126
Tspan9	54	158	90	132	114	106
9330102E08Rik	2	7	7	1	5	4
Gm18609	0	0	0	0	0	0
Gm10010	2	1	5	1	1	0
Gm4691	1	4	1	7	8	3
Gm19065	0	0	1	0	0	0
Tead4	1	3	2	4	6	3
Rpl18-ps2	57	202	125	162	157	122
Tulp3	78	200	119	157	173	132
Gm44190	7	17	8	15	5	8
Gm26770	0	2	2	3	3	1
Rhno1	36	96	57	84	64	58
Gm44371	0	0	0	1	0	0
Foxm1	9	41	27	43	26	35
Tex52	0	0	0	1	0	1
Gm43965	0	2	6	8	10	5
Gm15862	0	0	0	0	0	1
Nrip2	8	29	19	28	26	13
Itfg2	27	69	68	66	55	43
Fkbp4	176	682	421	593	521	426
Gm10069	0	3	6	2	5	5
Gm8719	0	2	1	1	0	0
Pzp	0	1	1	0	1	1
Gm8724	0	0	0	0	0	0
A2ml1	0	0	0	0	0	24
Klrb1a	1	2	1	5	5	4
Gm5884	2	10	2	5	8	5
Clec2h	0	0	0	0	0	0
Klrb1	0	1	0	0	0	1
Klrb1c	1	1	3	2	5	3
Klrb1b	1	0	2	0	6	0
Gm44066	3	7	5	6	4	9
Gm26656	0	0	0	0	0	0
Gm44067	1	4	5	3	3	3
BC035044	1	8	6	4	11	2
Gm8774	0	3	2	0	0	0
Clec2i	0	6	1	3	7	1
Clec2g	0	0	0	1	3	0
Gm15987	0	0	1	0	6	2
BC064078	2	6	7	8	21	9
Clec2f	0	0	1	1	0	0
Klrb1f	2	1	1	0	1	2
Gm44000	0	0	0	1	0	2
Clec2d	62	99	83	68	60	65
2310001H17Rik	4	11	10	13	6	11
Cd69	1	0	1	2	2	0
Clec12a	28	60	50	34	101	38
Clec12b	2	1	4	0	0	0
Clec1b	6	9	13	11	5	2
Clec9a	4	3	2	3	3	1
Gm43914	0	1	0	0	0	0
Clec1a	31	60	94	40	40	42
Clec7a	18	29	31	44	27	24
Olr1	3	11	1	2	4	4
1700101I11Rik	0	1	2	1	2	0
Gabarapl1	218	521	458	409	355	331
Gm44243	2	0	1	0	0	0
Klre1	0	6	3	2	0	0
Klrd1	2	7	4	3	4	3
Klrk1	4	6	7	1	6	3
Klrc2	0	0	0	3	1	1
Klrc1	2	3	0	1	2	0
Gm44135	1	0	1	0	1	2
Klri1	0	0	0	0	0	0
Klri2	0	3	0	2	0	0
Klra17	0	0	0	1	43	0
Klra5	0	0	0	0	0	0
Klra4	0	4	3	1	1	1
Klra8	0	0	0	2	0	1
Klra9	1	1	0	0	1	2
Klra7	0	1	0	1	2	1
Klra10	0	0	0	0	2	2
Klra13-ps	1	1	2	0	1	1
Klra3	0	2	1	1	1	1
Klra1	0	0	0	1	0	2
Gm44527	0	1	2	0	1	0
Gm33962	1	0	0	1	0	1
Gm44133	1	0	0	1	0	0
Gm44134	0	0	0	0	0	0
Gm5581	1	0	0	0	0	0
Klra2	2	12	4	2	36	4
Gm5582	0	0	0	1	1	1
Magohb	41	122	133	101	108	102
Styk1	1	2	5	3	3	1
Ybx3	83	305	132	183	170	139
Gm22362	1	1	1	0	0	0
Gm18688	0	0	0	0	0	0
Gm43973	0	0	0	0	0	0
Gm43975	0	2	0	0	0	0
A630073D07Rik	0	1	0	1	0	1
Smim10l1	93	191	152	159	149	119
Gm45769	3	6	4	6	4	5
Gm6375	3	11	2	2	7	4
Kap	1	2	2	0	2	1
Etv6	98	250	197	199	202	153
Gm43982	2	4	2	1	5	2
Gm43984	26	54	22	25	14	16
Gm17088	0	0	0	0	0	0
Gm17089	10	3	3	7	4	3
1700051K13Rik	0	0	0	0	1	0
Bcl2l14	0	2	2	0	1	1
Lrp6	91	231	188	153	136	109
Gm38910	1	4	2	4	3	1
Mansc1	5	12	8	13	11	11
Borcs5	17	94	45	79	65	58
Dusp16	51	69	97	77	55	48
Crebl2	13	20	32	22	19	13
Gpr19	9	21	16	24	10	13
Gm44366	0	0	0	0	0	0
2810454H06Rik	5	8	7	8	4	9
Cdkn1b	273	479	424	421	400	369
Gm44238	0	0	0	1	0	1
Lockd	122	238	243	207	170	234
Apold1	24	31	20	24	20	21
Ddx47	124	281	240	276	256	222
Gprc5a	0	2	1	2	2	0
Hebp1	19	79	48	80	103	83
Gm19434	0	1	0	1	0	2
Fam234b	33	141	162	165	143	117
Gsg1	0	1	0	1	1	0
Dynlt1-ps1	37	64	88	82	54	62
Emp1	127	284	206	234	260	225
4930425L21Rik	0	0	3	0	0	0
Grin2b	5	12	40	11	6	10
Gm14330	0	0	0	0	0	0
Gm8994	1	6	7	6	2	4
E330021D16Rik	6	18	27	20	15	19
Gm6728	0	1	0	2	0	0
Rpl36a-ps3	159	304	334	202	176	153
Atf7ip	121	245	212	201	211	148
Gm44140	0	0	0	0	0	2
Plbd1	76	141	208	160	121	117
Gm44401	3	2	1	4	4	6
Gm4714	0	1	1	1	3	0
Gucy2c	0	1	0	0	0	1
Hist4h4	3	3	2	1	3	2
H2afj	244	717	591	743	780	640
Gm44364	0	2	0	0	1	0
Wbp11	54	145	89	107	114	91
BC049715	0	3	2	0	2	2
Smco3	1	1	0	1	2	1
Gm44069	0	1	0	1	0	1
Art4	26	72	77	69	69	56
Mgp	1511	2390	1191	1612	1613	1793
Erp27	1	0	1	4	1	0
Arhgdib	63	220	73	228	232	149
Pde6h	1	4	1	4	3	3
Gm30055	0	1	1	1	0	0
Rerg	114	251	199	352	207	177
4930480K02Rik	1	7	9	6	3	3
Ptpro	5	10	10	9	5	4
Eps8	41	95	57	61	70	49
Strap	104	281	201	249	245	189
Dera	40	100	95	113	103	95
Slc15a5	0	3	2	2	0	1
Mgst1	1542	3243	2397	3502	3397	3010
Lmo3	0	1	0	1	0	2
Rergl	2	1	2	0	5	0
Pik3c2g	83	131	218	188	113	120
Gm5051	0	2	1	0	1	1
Plekha5	76	157	82	117	144	101
Gm25780	0	0	0	0	0	1
Gm44013	0	1	1	2	0	0
Aebp2	88	209	160	189	174	168
Rpl38-ps2	214	353	502	233	226	243
Gm30524	1	0	1	0	1	0
Gm7384	20	138	107	105	82	91
Gm28523	0	7	10	4	3	2
Pde3a	18	62	27	34	29	30
Gm10400	1	2	2	0	0	1
Gm43958	4	3	2	2	2	3
Slco1c1	0	3	10	0	0	0
Slco1b2	0	0	0	0	0	0
Slco1a4	5	11	4	9	3	4
Slco1a1	1	2	0	1	4	0
Gm6614	0	0	0	0	0	0
Slco1a6	0	0	0	0	0	0
Gm20400	1	4	0	0	3	1
Slco1a5	1	5	6	2	3	0
Pyroxd1	25	59	59	47	53	30
Recql	22	59	34	39	54	28
Golt1b	39	155	148	133	116	88
Spx	0	0	2	1	0	2
Gys2	0	0	0	0	0	1
Ldhb	321	848	909	960	780	661
Kcnj8	22	83	44	50	64	54
Abcc9	37	84	54	49	52	43
5330439B14Rik	3	2	1	1	0	1
Cmas	45	121	106	123	79	61
St8sia1	0	1	2	1	4	0
Gm7468	1	5	4	1	1	4
C2cd5	32	73	49	48	59	55
Etnk1	104	229	164	150	177	140
1700126G02Rik	0	1	2	0	0	0
D6Ertd474e	0	0	4	2	2	2
Sox5	37	87	78	54	62	44
Gm44068	2	7	7	3	0	1
Sox5os1	0	0	1	1	0	1
Sox5os2	1	0	0	1	0	1
Sox5os3	0	1	0	0	1	0
Sox5os4	1	1	2	0	0	1
Bcat1	334	710	661	717	611	595
Gm26666	1	9	6	2	5	0
Gm15687	0	3	2	2	3	4
Lrmp	11	21	28	38	43	20
Casc1	3	12	10	11	6	19
Gm15543	177	313	524	466	366	378
Etfrf1	85	162	201	216	176	146
Kras	61	121	100	116	114	75
Gm44164	14	31	21	22	28	12
Gm15706	3	7	5	10	10	8
Rps25-ps1	115	161	178	96	108	109
2010013B24Rik	0	1	0	1	0	2
Gm44428	0	0	0	2	0	0
Gm15707	0	0	1	0	1	0
Lmntd1	0	4	2	2	2	5
Tuba3b	1	5	3	1	1	1
Gm15704	1	1	1	5	1	2
Rassf8	52	117	105	105	75	78
Bhlhe41	3	7	7	6	6	4
Gm43909	0	1	3	0	0	1
Sspn	42	93	76	84	63	50
Gm43931	2	2	1	0	0	0
Sspnos	0	0	0	0	0	1
Itpr2	86	140	244	145	150	96
Gm44086	0	0	0	1	0	0
Gm44087	4	11	11	10	9	11
Gm15720	3	10	23	7	10	6
Ints13	39	111	64	70	75	53
Fgfr1op2	100	219	173	202	218	164
Tm7sf3	58	120	109	112	86	93
Med21	128	276	238	180	198	210
Gm6654	58	108	136	49	52	62
Stk38l	17	42	46	38	35	26
Gm44270	3	1	1	1	0	1
Gm6266	11	65	31	66	47	34
Arntl2	5	9	13	9	7	9
Smco2	1	1	0	0	0	0
Ppfibp1	84	169	149	166	110	112
1700034J05Rik	1	0	1	0	1	1
Gm35876	0	0	0	0	1	0
Rep15	5	11	9	7	11	6
Mrps35	72	180	170	158	154	148
Mansc4	7	8	14	8	6	5
Klhl42	35	72	41	48	52	36
Gm7571	0	1	0	0	1	1
E330012B07Rik	1	2	2	3	2	0
Gm15767	22	56	31	51	56	40
Pthlh	2	9	2	4	7	7
Gm15766	2	2	6	1	2	2
Gm6288	1	1	3	1	2	1
Ccdc91	47	91	86	84	85	65
4933406L23Rik	0	1	1	0	1	0
Far2os2	0	0	0	0	2	0
Far2	0	4	0	4	0	0
Far2os1	0	0	0	1	4	0
Ergic2	111	280	191	256	227	185
4732416N19Rik	5	8	8	11	12	9
Gm17216	0	1	0	0	0	0
Tmtc1	23	52	25	32	27	24
Rps4l	25	62	40	62	41	45
Gm44020	1	0	0	0	0	1
Gm44021	1	6	2	4	3	1
Gm44022	3	6	4	3	3	0
Gm15778	0	0	1	0	2	0
Ipo8	68	139	128	102	115	83
2610017A05Rik	0	1	1	2	1	2
Caprin2	16	51	57	42	40	23
Gm7618	294	547	624	324	296	364
Fam60a	19	68	81	62	54	41
3010003L21Rik	3	9	5	10	9	11
Dennd5b	26	81	80	58	69	62
Gm26540	5	7	13	7	12	8
Gm15779	19	80	56	51	68	75
Gm15781	0	0	1	0	1	2
Gm49058	0	2	1	1	3	2
Gm10203	0	0	0	1	0	0
Etfbkmt	71	203	189	118	121	87
Amn1	95	169	200	131	152	117
1700003I16Rik	0	0	0	0	0	1
Gm10388	9	10	5	3	9	2
2810474O19Rik	221	334	371	231	207	144
Gm15784	0	2	2	1	0	0
Bicd1	107	206	215	143	121	98
Gm15785	0	0	1	0	2	0
Gm21814	5	11	6	10	4	7
Gm44043	0	0	0	0	1	0
Gm7353	1	12	4	7	5	3
Gm3375	76	175	210	143	134	100
Nlrp12	0	1	3	0	0	0
Gm5340	3	1	1	0	2	0
Myadm	124	300	161	230	193	179
Prkcg	1	0	4	2	1	1
Cacng7	4	3	5	4	7	3
Gm44257	0	0	4	1	0	1
Cacng8	0	1	0	1	3	2
Tarm1	1	0	0	0	0	0
Oscar	1	0	0	1	0	0
Ndufa3	598	1489	1326	1548	1592	1417
Tfpt	15	62	59	71	71	58
Prpf31	85	208	163	199	195	142
Gm15927	0	4	2	0	1	0
Cnot3	61	159	128	125	134	114
Leng1	24	101	73	85	90	65
Tmc4	24	56	34	59	42	64
Gm15929	0	3	2	2	1	0
Mboat7	54	135	101	97	112	84
Tsen34	64	191	136	173	149	123
Rps9	2471	4556	5069	4223	3798	3560
Pirb	12	42	19	23	41	16
Gm15922	0	5	3	1	2	3
Gm15930	0	0	0	0	0	1
Gm15925	0	1	0	0	0	0
Gm15448	1	3	0	1	1	0
Pira2	3	4	1	1	7	1
Gm14548	0	6	0	2	1	0
Lilra6	0	1	1	1	1	1
Gm7363	7	21	17	20	9	7
Lair1	13	28	12	22	23	16
Ttyh1	4	7	12	4	7	5
D030047H15Rik	2	6	6	10	11	7
Leng8	64	174	124	158	145	108
Leng9	42	50	48	39	36	29
Cdc42ep5	95	245	318	245	212	193
Lilra5	2	5	4	7	6	3
Gm15931	1	0	2	1	3	1
Ncr1	0	1	3	0	4	0
Atp6v0c-ps1	4	8	4	10	7	10
Rdh13	35	62	56	50	39	21
Gm15494	1	0	0	0	0	0
Eps8l1	8	21	14	25	23	13
Ppp1r12c	44	106	105	117	131	103
Tnnt1	8	16	16	19	18	7
Tnni3	107	299	599	340	224	223
D0af3	2	15	8	10	9	9
Gm15873	1	0	2	0	1	0
Syt5	4	7	3	6	28	8
Tmem86b	7	17	8	14	24	13
Ppp6r1	27	66	39	48	44	25
Gm6855	2	1	3	2	2	2
Gm44878	0	3	5	2	0	1
Hspbp1	42	154	99	160	129	120
Brsk1	7	13	9	10	14	11
Tmem150b	1	10	7	4	8	2
Kmt5c	27	97	80	79	89	71
Cox6b2	33	120	113	149	123	93
Fam71e2	0	0	1	0	0	0
Il11	1	4	1	6	5	4
Tmem190	1	0	0	2	0	2
Tmem238	2	15	9	8	10	5
Rpl28	1202	1853	1628	1353	1377	1402
Ube2s	75	336	326	266	241	233
Shisa7	3	5	2	6	0	3
Isoc2b	31	92	94	114	90	111
Isoc2a	32	98	81	87	77	93
Gm36210	0	0	0	1	2	1
Gm5320	0	1	0	1	2	0
Zfp628	10	32	29	35	35	27
0t14	7	41	23	26	30	31
Ssc5d	8	21	11	10	15	13
Sbk2	1	4	1	1	2	8
Sbk3	1	1	1	1	1	0
Zfp579	23	64	48	53	50	37
Fiz1	20	79	66	67	74	56
Zfp524	6	6	12	10	10	11
Gm44973	0	0	1	0	0	0
Zfp865	24	48	48	69	49	35
Ccdc106	10	12	7	9	12	9
Zfp784	8	13	17	15	8	7
Gm15510	0	2	1	2	5	0
Zfp580	9	25	18	30	32	21
Gm45133	3	7	4	8	8	11
U2af2	100	366	224	282	308	235
Epn1	49	168	106	159	171	137
Rfpl4	6	32	16	30	13	19
Rasl2-9	6	2	3	8	4	4
Gm47692	2	1	1	0	2	0
Nlrp2	3	4	0	2	2	0
Gm5065	0	5	3	1	0	2
Vmn1r58	0	0	0	0	0	0
Gm5321	41	68	89	44	49	42
Nlrp4c	0	2	0	1	0	0
Zfp787	16	86	99	79	78	75
4933431C10Rik	1	1	1	1	0	0
Gm36371	3	7	8	7	8	2
Zfp444	31	105	84	101	93	86
Gm45148	1	3	2	2	1	2
Epp13	0	1	2	1	0	3
Gm45069	1	5	10	6	10	9
Zfp667	9	27	28	18	26	12
Zfp583	6	19	8	11	11	15
Gm38944	0	0	3	1	2	3
Gm3854	7	3	5	11	6	5
Zfp78	2	10	7	8	5	16
Zfp28	7	31	16	19	14	8
Smim17	1	3	3	1	0	3
Gm16306	0	0	0	1	0	0
Zim1	3	1	1	2	1	1
Peg3	18	55	35	39	52	39
Usp29	2	1	1	0	1	0
Zfp264	0	1	1	0	0	0
Aurkc	2	17	13	7	4	4
Pafah1b1-ps2	0	0	2	0	0	1
Gm6828	1	0	1	3	3	0
Zfp954	16	35	28	34	34	22
Zfp773	1	3	1	2	3	0
Zfp418	2	8	9	4	7	4
Zfp772	8	43	21	22	26	13
Gm45844	2	7	11	4	10	8
Vmn2r29	0	0	0	0	1	0
Gm18190	0	1	1	1	0	0
Clcn4	154	334	322	293	300	240
Gm45631	1	0	0	0	0	0
Mir5620	0	1	2	1	2	0
Gm3912	4	0	7	0	0	1
Gm6842	0	0	0	1	0	0
2810047C21Rik1	1	1	1	3	0	1
Gm20482	1	1	0	0	2	0
Zfp419	0	0	1	1	0	0
Gm45351	1	3	5	2	2	2
Gm45403	0	0	1	0	0	1
Vmn2r51	0	0	0	1	0	0
Zik1	2	7	11	11	8	4
Gm6900	6	17	9	5	14	14
Nlrp4b	1	6	3	5	1	6
Gm45379	0	0	1	0	0	0
Gm5130	0	0	0	0	0	2
Gm7203	0	0	0	0	0	0
Gm7789	0	0	1	0	0	0
Zscan4-ps1	0	0	1	0	0	0
Gm6909	0	0	0	0	0	0
Gm45598	0	0	1	0	0	0
Gm7839	0	0	0	0	0	0
Gm6929	0	6	4	2	2	1
Tpt1-ps4	1	0	1	1	2	3
Gm10179	0	1	1	0	0	0
Vmn1r81	0	0	1	0	0	0
Zfp551	11	15	30	9	8	10
Zfp606	21	54	67	56	53	40
Gm15877	13	10	11	12	4	8
Gm15773	2	4	6	2	1	0
Zscan18	3	8	9	4	9	2
Gm4247	0	1	0	0	1	0
Gm18194	2	4	1	1	1	2
Gm45315	1	3	3	2	4	1
Zfp329	35	70	100	53	57	42
Zfp110	34	79	56	56	64	40
Gm31152	0	0	0	0	0	0
Zfp128	7	13	15	13	13	9
Zscan22	22	32	36	29	31	25
Rps5	2322	4619	4945	3988	3500	3461
Rnf225	0	0	2	1	0	0
1810019N24Rik	1	2	2	4	1	2
Zfp324	20	24	27	16	18	28
Zfp446	6	20	20	8	13	10
Slc27a5	0	0	0	0	0	0
Trim28	172	466	361	349	324	299
Zbtb45	15	53	24	51	31	43
Chmp2a	299	588	611	772	676	598
Ube2m	72	220	198	190	228	174
Mzf1	7	7	5	10	3	11
Gm4879	1	8	3	2	1	5
Gm38947	1	0	0	0	0	1
Zswim9	24	43	59	24	24	19
Lig1	73	190	130	128	84	66
Pla2g4c	2	15	6	9	5	5
Rps8-ps4	8	10	7	9	5	8
Rpl7a-ps14	0	0	0	0	1	0
Gm44254	0	2	0	0	0	0
Kat6b-ps1	0	0	0	0	0	0
Sult2a4	0	0	0	1	0	0
Phf20-ps	2	7	16	9	11	8
Sult2a8	0	0	0	0	0	0
Nlrp5-ps	4	5	6	2	5	1
Vmn1r90	1	5	3	1	0	1
Ranbp2-ps1	4	10	21	16	11	12
Obox3-ps7	0	0	0	0	0	2
Obox7	2	1	2	1	2	5
Mrip-ps	0	2	1	1	1	2
Obox2	4	31	18	24	22	23
Obox1	4	13	12	12	9	11
Obox3	0	1	0	0	2	2
Obox5	8	22	12	19	8	8
Crxos	1	0	0	0	0	0
Selenow	442	1393	1210	1532	1580	1408
Nop53	205	552	611	591	454	428
Snord23	0	1	0	1	1	0
Gm24576	0	0	2	0	0	0
Ehd2	108	322	159	214	242	191
Bicra	25	57	29	30	26	25
Gm38948	1	1	1	1	2	0
Zfp541	0	1	0	1	0	1
0pa	157	421	278	441	424	354
Kptn	19	59	47	71	48	40
Slc8a2	4	3	0	3	0	0
Meis3	8	34	24	35	37	26
Dhx34	21	45	31	42	35	27
C5ar2	2	3	0	3	1	1
C5ar1	7	34	10	24	22	23
I0fm1	24	61	64	52	41	38
Ccdc9	24	75	68	100	89	56
Bbc3	13	28	14	27	28	16
Sae1	84	271	224	290	244	193
Zc3h4	47	116	93	87	88	77
Gm45508	1	0	0	0	0	0
Gm45509	13	14	17	12	12	16
Gm45510	1	2	2	0	1	0
Tmem160	47	164	103	133	115	104
Arhgap35	79	200	190	161	140	117
Gm17826	11	10	28	17	9	14
Gm17981	0	1	4	1	0	0
Gm29443	1	0	0	0	0	0
Ceacam15	3	4	2	7	2	5
Gm5586	23	56	47	37	27	25
Ap2s1	298	735	578	589	638	538
Slc1a5	45	163	41	103	119	86
Fkrp	30	55	59	57	48	49
Strn4	45	135	94	116	106	95
Prkd2	27	52	31	60	56	33
9330104G04Rik	6	8	7	8	3	7
Dact3	15	26	15	13	13	16
2700080J24Rik	0	0	1	0	0	1
Gng8	5	12	8	12	18	10
Ptgir	1	4	4	1	4	3
Calm3	237	757	641	772	666	587
Pnmal2	31	54	19	35	51	34
Gm25815	1	2	0	0	1	1
Pnmal1	0	2	4	3	2	0
Gm42372	3	1	0	2	1	0
Ccdc8	52	112	104	98	78	83
Ppp5c	66	181	158	196	197	173
Hif3a	0	6	0	4	2	4
Psg16	1	0	2	1	0	0
Gm7287	1	5	5	9	6	10
Gm32772	0	0	0	0	0	0
Gm9519	0	0	0	0	0	0
Ceacam5	0	0	0	0	0	0
Gm6065	6	6	6	1	2	4
Gm5322	4	4	1	1	2	0
Gm44613	0	0	0	0	0	0
Gm9521	0	3	1	1	0	1
Mill1	0	0	0	1	0	0
Gm45104	0	0	0	0	0	0
Gm24715	2	2	1	2	1	1
Psg20	0	0	0	1	1	0
Psg17	0	3	0	1	0	0
Mill2	17	47	43	43	29	40
Pglyrp1	6	10	10	12	12	5
Ccdc61	15	45	40	59	42	39
Nova2	9	25	19	14	19	14
Gm26821	3	2	2	1	2	0
0nos2	0	4	1	1	1	0
Gm10676	1	0	4	4	2	3
Mypop	5	25	18	30	22	22
Mypopos	3	11	5	12	7	8
Irf2bp1	28	64	51	79	65	56
Foxa3	0	6	2	5	6	1
Sympk	26	83	63	65	62	58
Dmwd	34	104	48	87	101	74
Dmpk	48	171	42	159	183	138
Six5	16	61	42	45	49	30
Gm4969	0	0	0	0	0	0
Fbxo46	16	29	30	23	29	19
Qpctl	39	59	46	63	54	44
Snrpd2	560	1268	1375	1238	1055	938
Gipr	0	1	0	0	0	2
Eml2	78	188	166	162	150	128
Gpr4	2	15	5	13	13	12
Opa3	49	134	98	98	76	78
Gm25134	0	0	1	0	0	0
Vasp	78	182	92	165	170	123
1700058P15Rik	0	1	1	0	1	0
Ppm1n	0	1	0	0	0	0
Rtn2	13	26	21	23	22	15
Fosb	0	0	3	1	1	0
Gm44698	0	0	1	0	0	1
Ercc1	48	192	118	193	156	134
Cd3eap	53	113	93	112	90	66
Ppp1r13l	5	15	14	16	9	12
Ercc2	17	86	65	65	47	67
Gm26852	5	8	12	9	4	4
Klc3	5	6	3	6	5	17
Ckm	2	3	2	5	2	2
Mark4	37	116	95	109	93	75
Exoc3l2	20	47	73	68	53	42
Gm45167	0	0	1	0	0	0
Bloc1s3	16	33	49	24	21	36
Trappc6a	86	323	324	421	367	374
Nkpd1	0	1	0	0	0	0
Ppp1r37	53	86	125	89	88	60
Gemin7	78	359	329	364	358	334
Zfp296	2	13	8	8	7	6
Clasrp	33	94	73	81	75	60
Gm26890	11	18	22	18	15	7
Relb	14	82	45	55	47	51
Clptm1	49	212	132	177	200	129
Apoc4	2	4	5	3	11	5
Apoc1	12	40	32	38	56	57
Apoe	1189	2993	2136	3089	2793	2309
Tomm40	68	301	146	276	254	185
Gm20512	2	3	2	2	1	0
Nectin2	103	341	187	267	285	249
Bcam	74	301	159	296	239	197
Gm45114	0	0	1	4	1	1
Gm26600	1	0	0	0	0	1
Cblc	1	1	1	1	3	1
Bcl3	13	33	18	29	25	18
Gm16175	0	1	1	0	1	0
Gm16174	1	10	13	9	10	7
Gm44658	1	0	0	0	1	0
Gm19345	0	0	0	0	2	1
Ceacam16	0	3	0	0	0	0
Gm44659	0	0	0	0	0	1
Gm44660	0	0	0	0	0	0
Pvr	37	106	89	88	79	70
Gm16184	4	3	3	1	1	2
Gm16251	0	0	0	0	0	0
Igsf23	1	7	6	3	2	4
Rpl7a-ps8	6	8	7	7	4	6
Ceacam20	0	2	2	2	1	0
Nlrp9b	2	11	7	8	10	5
Vmn1r132	0	0	0	0	0	0
Gm44554	1	1	1	0	1	0
Vmn1r139	1	1	1	1	0	1
Gm4558	0	0	0	0	0	0
Nlrp4e	0	1	0	0	1	0
Krt8-ps	0	0	1	2	1	1
Nlrp5	11	25	24	25	12	14
Gm44576	0	0	0	0	0	0
Gm10175	115	299	202	183	188	184
Ptma-ps1	0	0	0	0	0	0
Zfp180	15	39	48	54	34	35
Zfp112	5	28	13	27	21	16
Gm44793	0	0	0	0	0	0
Zfp235	9	21	28	26	24	16
Zfp114	2	8	3	2	3	4
Zfp111	11	20	21	20	23	8
Gm44796	0	2	0	2	2	0
Zfp109	0	4	1	1	2	3
Zfp108	3	16	6	14	7	6
Zfp93	11	16	27	13	13	20
Zfp61	12	39	38	33	40	28
Zfp94	1	17	13	21	24	11
Tescl	0	2	0	1	0	1
Kcnn4	2	1	1	2	13	7
Smg9	33	67	50	71	57	44
Gm36159	1	6	2	5	1	1
Plaur	18	53	24	56	39	38
Cadm4	30	65	44	77	77	63
Zfp428	16	70	47	53	66	44
Irgq	23	61	37	40	39	38
Pinlyp	1	4	5	9	3	1
Xrcc1	46	143	144	113	127	100
Zfp575	0	6	0	4	5	2
Ethe1	24	152	83	143	133	116
Phldb3	2	1	3	4	4	5
Lypd3	1	7	3	5	3	3
BC049730	0	0	0	1	1	2
Cd177	8	41	28	74	41	37
Ceacam10	2	6	0	11	5	9
Gm5893	2	4	2	4	1	4
Gm9844	116	287	229	224	290	252
Rps19	3006	6376	5353	6230	6111	5645
Cd79a	2	8	6	4	5	5
Arhgef1	60	155	110	124	135	91
Rabac1	342	802	639	919	755	718
Atp1a3	76	237	192	295	296	242
Grik5	15	56	34	54	44	37
Zfp574	23	57	27	45	47	28
Pou2f2	8	42	13	11	49	18
D930028M14Rik	1	0	2	4	3	6
Dedd2	17	43	34	43	38	40
Zfp526	5	10	11	14	9	6
Gsk3a	23	99	74	137	114	84
9130221H12Rik	13	49	24	47	35	33
Erf	10	56	37	45	39	32
Cic	73	148	117	134	153	105
