	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Gm28151	3	14	19	7	7	9
Gm37393	0	1	0	0	0	0
Gm4852	0	0	0	1	0	1
Gm8337	22	41	29	40	27	24
Gm23240	8	1	7	2	4	2
Tmeff2	7	10	18	13	10	11
Gm28320	0	1	1	0	0	1
9330175M20Rik	0	0	1	1	1	1
Cavin2	64	170	163	103	89	101
0bp1	10	26	27	20	28	16
Gm28055	1	0	0	0	0	1
Myo1b	77	186	154	142	116	106
Gm29453	0	0	0	0	0	0
Gm28323	0	0	0	1	0	0
Gm8419	0	0	1	1	0	1
Gm8420	2	12	4	6	7	6
Stat4	0	2	3	1	1	2
Gm28177	0	0	0	2	0	0
Gm3940	1	6	3	3	5	2
Gm31812	2	5	6	3	3	0
Stat1	69	152	156	175	183	131
Gls	117	306	257	201	186	190
0b1	98	210	118	140	158	93
Rps27a-ps1	1	4	0	2	2	1
Gm553	0	2	2	1	0	0
Gm5527	1	5	0	2	1	1
Nemp2	14	24	21	21	16	13
Mfsd6	27	65	48	52	40	47
Gm29670	0	1	0	0	0	0
Inpp1	31	65	58	52	50	46
Hibch	50	125	108	118	122	106
Gm16107	1	2	2	0	0	0
1700019D03Rik	1	3	1	0	0	4
Pms1	2	20	9	11	10	11
Ormdl1	26	71	48	67	49	44
Osgepl1	24	44	46	41	38	31
Gm18800	0	0	0	1	0	0
Asnsd1	3	19	8	9	6	12
D0h7a	0	1	0	0	0	0
Stk17b	44	97	82	85	141	76
Hecw2	14	26	22	36	10	15
Gm37633	2	1	0	1	0	0
Gm25829	1	0	0	0	0	0
Ccdc150	0	0	1	1	1	0
Gtf3c3	50	95	74	76	70	69
Pgap1	11	30	12	14	18	18
Gm36955	1	2	1	1	1	0
Ankrd44	17	35	29	40	31	20
4930444A19Rik	0	0	0	0	0	0
Gm37370	0	2	1	0	1	0
Sf3b1	383	913	693	680	626	543
E330011M16Rik	2	2	2	1	1	1
Coq10b	41	84	80	83	62	61
Gm17971	7	11	6	8	8	10
Hspd1	901	2241	2158	2384	2011	1682
Hspe1	1733	2622	4660	2449	2012	1943
Gm5147	0	1	0	0	0	0
Gm16581	0	3	2	1	1	0
Mob4	253	517	576	586	501	461
Gm6822	6	11	4	6	6	4
Rftn2	18	69	44	51	43	39
Gm10561	12	30	12	22	20	18
Mars2	15	37	18	29	22	21
Boll	0	0	1	1	1	0
Gm8292	190	174	310	86	90	73
Gm29138	0	2	0	3	0	0
Plcl1	9	35	23	21	29	23
Gm38056	2	9	7	3	2	3
Gm6644	10	30	24	28	24	17
Gm37382	1	0	1	1	0	0
Gm28900	0	2	5	4	4	3
Satb2	5	2	1	1	6	2
9130024F11Rik	0	1	2	0	1	1
4930558J18Rik	0	1	2	1	2	3
1700066M21Rik	9	18	10	24	27	17
Tyw5	25	45	61	57	38	43
Maip1	52	131	116	116	126	95
Spats2l	14	41	30	30	28	23
Kctd18	37	66	64	49	32	35
Sgo2a	20	35	22	16	14	16
Aox1	51	106	95	78	79	81
Aox3	14	18	21	20	17	12
Aox4	0	10	1	6	7	4
Aox2	5	20	10	7	16	5
Gm37607	11	18	18	7	19	8
Bzw1	660	1275	843	1236	1293	983
Clk1	232	445	574	434	366	221
Ppil3	84	191	151	129	132	124
Nif3l1	67	157	134	151	123	116
Orc2	35	100	75	85	66	50
Gm23966	1	8	3	5	5	2
Gm15834	3	6	6	5	9	8
Fam126b	67	142	141	94	86	73
Ndufb3	410	735	953	613	601	601
Gm29389	1	0	0	0	0	1
Cbx3-ps7	6	13	7	12	12	19
Als2cr12	0	1	0	0	1	0
Gm20257	15	22	15	20	21	17
Cflar	162	264	259	214	164	130
