	OvaryPrepubertalDHT1	OvaryPrepubertalDHT2	OvaryPrepubertalDHT3	OvaryPrepubertalDHT4	OvaryPrepubertalCNT2	OvaryPrepubertalCNT3	OvaryPrepubertalCNT4
Zfp329	56	20	56	60	65	61	23
Zfp110	56	25	47	61	59	50	24
Gm31152	0	0	0	0	1	0	1
Zfp128	8	6	13	11	10	3	1
Zscan22	23	7	23	31	25	23	12
Rps5	3250	2292	2930	4107	3287	3264	2241
Rnf225	0	1	0	0	0	1	0
1810019N24Rik	3	2	1	2	2	2	4
Zfp324	30	11	23	17	18	6	16
Zfp446	11	3	14	11	10	8	7
Slc27a5	0	0	0	0	0	0	0
Trim28	266	147	233	354	192	191	147
Zbtb45	37	18	20	21	11	22	13
Chmp2a	466	223	456	450	516	467	274
Ube2m	175	54	110	111	95	112	70
Mzf1	5	6	5	11	7	8	3
Gm4879	0	0	1	4	4	0	1
Gm38947	1	0	0	0	0	0	0
Zswim9	27	16	33	41	31	22	14
Lig1	74	52	79	173	126	122	71
Pla2g4c	6	10	2	35	8	12	6
Rps8-ps4	2	5	4	12	5	6	9
Rpl7a-ps14	0	0	0	1	0	0	0
Gm44254	0	0	0	0	0	1	0
Kat6b-ps1	0	0	0	1	0	0	0
Sult2a4	0	0	0	0	0	0	0
Phf20-ps	8	6	5	8	1	7	8
Sult2a8	0	0	0	0	0	0	1
Nlrp5-ps	2	3	2	3	7	7	1
Vmn1r90	4	1	1	2	1	2	2
Ranbp2-ps1	9	6	12	12	17	18	3
Obox3-ps7	1	0	0	1	0	1	0
Obox7	2	1	1	4	1	1	0
Mrip-ps	0	0	1	0	4	1	0
Obox2	15	11	8	50	18	10	3
Obox1	10	6	4	23	11	4	0
Obox3	0	1	0	0	0	0	0
Obox5	11	10	8	30	8	8	7
Crxos	1	0	0	0	0	0	0
Selenow	1066	391	959	760	875	879	529
Nop53	342	272	320	528	436	366	193
Snord23	0	0	3	0	0	1	0
Gm24576	0	0	0	1	1	0	0
Ehd2	197	51	204	157	128	124	70
Bicra	40	20	20	43	29	34	18
Gm38948	3	0	1	4	1	3	0
Zfp541	0	0	0	0	1	0	0
0pa	286	143	256	289	255	203	157
Kptn	41	28	54	49	42	30	19
Slc8a2	0	0	1	1	1	0	1
Meis3	27	9	23	13	20	26	16
Dhx34	18	11	19	20	18	13	9
C5ar2	3	2	2	4	0	0	1
C5ar1	24	10	24	20	15	9	2
I0fm1	47	28	42	56	32	39	23
Ccdc9	48	27	45	62	34	29	17
Bbc3	20	6	17	13	16	21	8
Sae1	181	84	154	190	152	170	82
Zc3h4	62	42	62	70	74	55	34
Gm45508	0	0	0	0	1	0	0
Gm45509	9	2	11	20	24	16	9
Gm45510	1	0	0	1	2	1	1
Tmem160	108	18	78	43	65	86	43
Arhgap35	138	67	93	141	122	93	54
Gm17826	8	8	5	13	14	10	7
Gm17981	0	1	0	0	1	0	0
Gm29443	0	1	0	0	0	0	0
Ceacam15	1	1	2	0	2	2	0
Gm5586	24	38	29	55	23	23	22
Ap2s1	517	226	463	422	499	491	281
Slc1a5	97	19	77	69	67	75	44
Fkrp	43	20	58	38	36	42	29
Strn4	76	33	59	79	53	54	33
Prkd2	56	19	38	44	32	38	17
9330104G04Rik	10	2	3	5	2	1	3
Dact3	20	8	6	15	8	23	2
2700080J24Rik	0	0	1	1	2	1	0
Gng8	3	4	2	2	7	8	2
Ptgir	4	2	4	1	1	2	0
Calm3	476	182	416	326	441	488	291
Pnmal2	56	25	38	43	32	31	28
Gm25815	0	0	1	0	2	1	0
Pnmal1	6	5	4	7	0	2	0
Gm42372	0	2	0	4	2	0	0
Ccdc8	99	69	71	176	69	52	39
Ppp5c	162	61	117	132	125	110	56
Hif3a	5	1	2	0	2	5	1
Psg16	0	0	0	0	0	0	0
Gm7287	3	1	4	3	5	5	6
Gm32772	0	0	0	1	0	0	0
Gm9519	0	0	0	1	1	0	0
Ceacam5	0	0	0	0	0	0	0
Gm6065	5	1	2	3	7	3	4
Gm5322	0	1	0	2	3	0	0
Gm44613	0	0	0	4	0	0	0
Gm9521	2	1	0	0	0	0	1
Mill1	0	0	0	1	0	1	0
Gm45104	1	1	0	2	0	0	1
Gm24715	0	0	0	0	4	2	1
Psg20	2	1	0	0	0	0	0
Psg17	0	0	0	0	0	0	0
Mill2	23	13	21	43	35	26	25
Pglyrp1	9	5	7	9	12	12	4
Ccdc61	34	14	26	34	17	19	19
Nova2	12	3	8	8	14	14	7
Gm26821	2	3	4	0	7	5	1
0nos2	1	2	1	3	0	2	2
Gm10676	1	1	4	1	3	1	0
Mypop	18	8	15	16	7	15	7
Mypopos	6	1	6	5	6	3	3
Irf2bp1	40	21	32	67	30	35	11
Foxa3	4	6	7	26	4	1	1
Sympk	62	31	47	42	33	45	21
Dmwd	57	30	53	59	33	41	23
Dmpk	115	16	88	38	96	73	46
Six5	30	21	24	46	30	25	14
Gm4969	1	0	1	1	0	0	0
Fbxo46	24	11	12	24	20	20	16
Qpctl	47	14	37	30	38	36	20
Snrpd2	986	621	809	949	1023	949	475
Gipr	2	1	2	0	0	0	2
Eml2	116	43	103	87	125	99	55
Gpr4	12	0	6	4	5	10	7
Opa3	76	32	58	61	70	60	42
Gm25134	0	0	0	0	0	0	0
Vasp	130	50	110	103	104	96	57
1700058P15Rik	1	0	0	2	3	0	0
Ppm1n	2	0	2	1	0	0	2
Rtn2	18	3	14	14	20	18	13
Fosb	4	2	3	1	4	0	1
Gm44698	2	0	0	0	0	0	0
Ercc1	126	43	101	113	100	94	61
Cd3eap	72	36	60	85	58	67	31
Ppp1r13l	20	11	14	17	6	2	5
Ercc2	61	28	47	60	41	30	11
Gm26852	7	4	2	12	7	9	4
Klc3	5	1	9	9	4	2	2
Ckm	2	1	14	1	0	0	1
Mark4	73	21	60	52	56	47	39
Exoc3l2	37	10	36	27	22	38	17
Gm45167	0	0	0	2	0	0	1
Bloc1s3	33	13	26	31	33	31	17
Trappc6a	244	130	200	274	212	194	137
Nkpd1	0	0	1	0	0	0	0
Ppp1r37	73	28	59	62	64	63	41
Gemin7	241	113	236	288	132	174	114
Zfp296	9	5	2	9	7	2	0
Clasrp	57	32	55	83	53	44	20
Gm26890	21	6	13	24	18	18	7
Relb	57	32	35	49	23	27	12
Clptm1	182	47	117	103	56	58	64
Apoc4	4	1	0	2	4	1	0
Apoc1	56	24	51	74	29	25	18
Apoe	4459	3084	3443	4840	2017	1595	1081
Tomm40	278	78	201	145	119	156	82
Gm20512	2	1	2	3	1	0	1
Nectin2	343	47	249	131	139	150	73
Bcam	295	44	242	115	159	147	94
Gm45114	2	0	1	0	1	2	0
Gm26600	2	0	0	0	1	2	1
Cblc	1	0	0	1	0	0	0
Bcl3	38	10	37	13	11	17	14
Gm16175	1	0	1	0	1	0	0
Gm16174	8	5	10	8	4	10	6
Gm44658	1	0	0	2	0	0	0
Gm19345	3	0	1	0	1	1	0
Ceacam16	0	0	0	1	0	1	0
Gm44659	0	1	0	0	2	0	0
Gm44660	0	0	1	1	0	1	0
Pvr	91	29	80	58	47	65	22
Gm16184	1	2	4	1	3	1	4
Gm16251	0	0	0	0	0	0	0
Igsf23	2	1	1	9	3	1	3
Rpl7a-ps8	9	3	2	7	6	9	8
Ceacam20	0	1	1	2	2	0	0
Nlrp9b	8	8	6	16	5	4	1
Vmn1r132	0	0	0	1	0	0	0
Gm44554	0	2	1	5	1	0	1
Vmn1r139	4	4	2	2	4	1	2
Gm4558	0	1	0	1	1	1	0
Nlrp4e	1	2	1	2	0	0	0
Krt8-ps	2	0	2	5	0	1	0
Nlrp5	22	23	12	56	21	22	4
Gm44576	0	0	0	0	0	0	2
Gm10175	177	134	148	239	168	182	95
Ptma-ps1	0	0	0	0	0	0	2
Zfp180	34	27	20	41	49	34	22
Zfp112	22	13	14	28	16	9	4
Gm44793	0	0	1	0	2	0	1
Zfp235	17	10	18	19	6	20	8
Zfp114	4	1	6	7	7	1	0
Zfp111	18	13	13	22	19	12	8
Gm44796	0	2	0	2	0	0	0
Zfp109	2	1	3	6	1	1	1
Zfp108	10	4	2	10	7	6	5
Zfp93	13	7	13	19	20	15	6
Zfp61	36	14	30	35	31	21	4
Zfp94	13	8	12	27	14	16	12
Tescl	0	0	0	0	1	0	1
Kcnn4	8	6	3	8	1	0	3
Smg9	53	20	38	43	44	30	31
Gm36159	1	2	0	2	3	3	0
Plaur	45	18	44	24	19	36	15
Cadm4	28	6	38	17	42	30	13
Zfp428	36	23	36	74	28	32	23
Irgq	28	12	27	36	31	21	18
Pinlyp	8	3	3	4	2	2	0
Xrcc1	125	88	84	147	72	73	34
Zfp575	3	0	4	4	1	1	1
Ethe1	111	36	90	58	66	70	44
Phldb3	5	1	3	1	1	1	1
Lypd3	1	2	0	6	5	3	0
BC049730	0	0	0	0	1	0	0
Cd177	9	1	13	2	11	13	7
Ceacam10	12	0	5	4	2	6	2
Gm5893	2	0	0	0	3	4	2
Gm9844	221	159	204	243	199	199	189
Rps19	4538	3193	4038	5290	4384	4278	2703
Cd79a	2	5	7	5	7	2	1
Arhgef1	101	51	78	114	69	80	44
Rabac1	658	313	507	647	597	604	331
Atp1a3	54	4	87	5	126	103	75
Grik5	37	14	26	37	28	27	14
Zfp574	34	16	27	36	17	31	15
Pou2f2	14	6	9	22	16	9	3
D930028M14Rik	1	0	0	0	9	1	5
Dedd2	32	13	26	25	26	26	10
Zfp526	3	3	4	11	8	3	3
Gsk3a	77	31	60	60	28	38	28
9130221H12Rik	38	13	24	48	33	22	18
Erf	44	16	33	38	23	20	8
Cic	113	39	84	118	113	91	57
Pafah1b3	167	68	134	207	128	132	79
Megf8	170	84	144	135	100	131	68
4732471J01Rik	14	1	12	7	7	16	5
Lipe	72	26	64	61	43	58	27
Cxcl17	1	0	0	1	0	1	0
Gm5587	0	1	1	1	0	1	0
Gm15495	0	0	0	1	1	1	0
Ceacam1	8	5	5	7	19	12	3
Ceacam2	8	0	2	4	4	2	2
Gm4607	1	1	1	2	1	0	2
Erich4	2	0	0	0	1	0	1
Dmac2	35	23	40	57	33	28	16
B3gnt8	38	11	15	23	17	14	5
Bckdha	116	64	95	186	107	128	74
Exosc5	138	82	139	134	118	116	59
Tmem91	7	4	8	7	5	2	2
B9d2	54	16	51	44	35	49	18
Tgfb1	47	17	32	30	28	29	21
Ccdc97	64	23	48	48	33	38	23
Hnrnpul1	89	50	75	100	72	78	45
Axl	330	105	276	230	218	220	126
Gm29763	0	0	0	1	1	0	0
Cyp2s1	31	22	34	71	17	11	6
Gm45226	0	0	1	1	0	0	0
Gm26707	2	0	5	2	0	0	0
Gm4613	41	19	22	36	56	40	30
Gm30146	2	0	0	1	0	1	0
Gm6434	0	0	0	0	0	0	0
Cyp2b10	0	0	0	1	0	0	0
Cyp2b13	0	0	0	2	0	0	0
Rnf170-ps	2	0	0	0	1	1	0
Cyp2b9	0	0	0	0	0	0	0
Cyp2a4	0	0	0	0	0	0	0
Nlrp9c	9	3	4	17	6	4	0
Nlrp4a	7	7	2	20	5	5	3
Nlrp9a	4	3	1	11	1	4	2
Cyp2a5	1	0	0	2	0	0	0
Cyp2a12	0	0	0	0	0	0	0
Gm29754	0	0	0	0	1	0	0
Cyp2f2	8	0	2	8	0	2	2
Gm15883	1	0	3	0	2	0	0
Cyp2t4	0	0	1	0	2	1	0
Egln2	151	47	110	82	94	107	82
Rab4b	70	29	55	62	50	72	13
Mia	7	18	4	13	1	0	0
Snrpa	244	108	184	238	132	131	85
BC024978	25	14	32	22	12	17	10
Itpkc	29	13	19	29	21	17	11
Coq8b	49	18	46	41	46	36	28
Gm15567	0	0	0	2	0	0	0
Numbl	40	21	43	40	29	33	23
Gm15570	0	0	1	0	0	0	0
Ltbp4	139	85	132	265	85	102	57
Shkbp1	20	11	28	12	24	19	16
Sptbn4	1	2	0	3	0	0	0
Blvrb	188	136	155	222	187	167	100
Pgam1-ps2	44	13	44	20	24	40	12
Sertad3	54	13	53	37	42	48	21
Sertad1	92	33	88	58	72	63	44
Prx	16	5	6	15	3	8	4
Gm15541	2	2	1	1	1	1	3
Hipk4	3	0	1	1	5	5	1
Pld3	443	335	364	710	223	214	125
2310022A10Rik	22	14	19	25	17	24	13
Akt2	180	84	149	169	130	123	66
Gm38973	1	0	0	1	3	2	2
Ttc9b	2	0	1	0	4	2	0
Map3k10	42	18	28	34	28	23	8
Zfp607b	11	6	6	15	13	11	8
Zfp60	36	20	25	48	39	36	10
Gm10046	3	4	3	4	0	2	2
Zfp626	22	8	15	31	27	15	7
Zfp59	10	3	12	18	12	10	7
Zfp607a	9	11	12	14	18	13	12
Prkcz2	20	8	17	20	18	18	8
Zfp974	22	17	27	32	36	16	14
Gm26891	0	0	0	1	0	0	0
Gm10651	1	1	2	2	2	1	0
Zfp780b	39	9	29	38	35	40	12
Zfp850	8	2	2	9	5	8	3
Psmc4	391	157	358	292	359	359	169
Fcgbp	3	9	3	11	6	5	1
9530053A07Rik	1	0	0	0	0	0	0
Gm31024	4	1	4	4	0	2	0
Fbl	182	74	136	167	118	108	50
Dyrk1b	19	11	24	20	6	14	14
Eid2	52	23	44	33	47	29	20
Eid2b	16	9	13	8	7	16	7
Selenov	3	1	0	5	1	4	0
Dll3	6	1	3	2	0	2	1
Timm50	150	70	106	132	119	105	56
Supt5	214	68	183	162	140	160	114
Gm44709	0	0	0	0	0	1	3
Rps16	3110	2289	2700	3719	3162	3156	2620
AF357399	1	0	2	0	1	0	0
Plekhg2	57	11	36	35	35	52	23
Zfp36	91	20	75	40	55	40	18
Gm44710	3	1	0	1	3	0	3
Med29	258	87	203	204	228	239	101
Paf1	197	90	193	190	166	133	84
Samd4b	131	44	111	97	67	75	39
Gmfg	30	35	24	59	44	26	8
Lrfn1	6	3	9	8	3	5	5
1700028B04Rik	4	2	2	3	2	6	5
Ifnl2	1	0	0	0	0	0	0
Ifnl3	1	0	3	0	1	1	1
Gm19880	3	0	0	0	0	1	0
Sycn	0	0	0	0	1	1	0
Pak4	53	22	43	41	28	44	21
Acp7	0	0	0	0	0	0	0
Fbxo27	14	5	9	6	3	8	3
Fbxo17	11	7	24	24	29	32	25
Mrps12	283	92	251	240	276	276	128
Sars2	31	10	22	28	23	23	19
Ccer2	0	0	0	0	1	0	1
Nfkbib	121	35	105	102	97	91	41
Sirt2	110	55	96	107	96	78	59
Rinl	15	5	12	20	13	7	10
Hnrnpl	279	165	272	335	244	204	145
Gm44702	0	0	2	3	1	1	1
Ech1	676	539	584	963	620	608	372
Lgals4	35	21	23	43	19	15	14
Gm10648	1	0	1	2	1	1	0
Lgals7	230	129	185	277	165	234	169
Capn12	4	1	1	2	3	4	1
Actn4	348	121	298	276	262	291	178
Gm44699	2	1	1	2	3	1	1
Eif3k	667	395	551	781	620	590	400
Map4k1	6	5	3	7	8	5	0
Ryr1	5	5	5	3	3	4	5
Rasgrp4	21	19	14	45	15	14	8
Gm16282	2	2	1	5	1	1	0
Fam98c	30	15	21	20	14	22	5
1110035H17Rik	5	0	2	4	3	4	0
Spred3	14	3	13	9	3	6	1
Ggn	0	2	1	3	3	2	0
Psmd8	367	105	291	255	277	268	169
Catsperg1	1	1	6	6	2	5	3
Gm17113	0	1	1	0	0	0	0
Kcnk6	15	6	14	17	7	6	3
Yif1b	179	64	155	170	146	143	85
2200002D01Rik	43	10	30	20	25	40	24
Spint2	148	90	102	231	79	116	75
Ppp1r14a	375	81	293	205	233	339	217
Dpf1	16	7	8	13	9	7	6
Gm44632	0	0	0	0	0	0	0
Sipa1l3	86	33	56	89	61	57	27
4930432E11Rik	0	0	0	0	1	2	1
A330087D11Rik	0	1	1	0	0	1	0
Catsperg2	3	0	0	0	0	0	0
Gm44954	0	0	0	0	0	0	0
Zfp84	27	14	18	20	27	19	4
Zfp30	45	31	37	54	43	28	17
Gm6579	2	0	2	2	2	2	1
Zfp790	20	14	19	35	26	15	10
Zfp940	1	2	8	6	3	4	0
Zfp420	13	5	10	8	9	8	8
Zfp27	32	14	41	40	22	16	11
Mir7668	0	0	0	0	0	1	0
Zfp383	29	28	22	53	40	27	11
Gm44873	2	1	1	1	1	0	0
Zfp74	28	36	33	64	48	47	24
C230062I16Rik	20	12	11	19	19	12	11
Gm10169	95	53	64	98	89	108	147
Zfp568	23	12	30	22	11	14	4
Zfp14	12	4	6	22	9	5	5
Zfp82	2	1	0	1	1	2	0
Zfp566	11	2	7	15	9	6	4
Zfp260	126	43	88	151	124	82	48
Gm23368	9	5	6	11	9	9	6
Zfp382	3	2	4	7	5	5	1
Zfp146	72	39	52	83	78	53	31
Gm5113	9	8	12	16	7	9	2
Cox7a1	69	73	55	135	83	56	39
Capns1	497	200	402	517	359	354	256
Gm26810	2	0	1	5	2	0	1
Tbcb	418	180	347	421	377	391	195
Polr2i	345	217	292	386	329	324	217
Ovol3	0	1	0	0	0	0	0
Wdr62	13	9	7	17	10	6	2
Rps12-ps5	15	16	10	11	21	17	16
Thap8	3	1	3	1	2	2	0
Clip3	29	10	32	35	24	25	17
Alkbh6	170	74	119	174	121	108	84
Syne4	18	17	6	27	8	9	6
Sdhaf1	56	12	40	32	33	41	24
E130208F15Rik	1	1	0	2	1	1	1
Lrfn3	7	2	6	5	8	11	5
Tyrobp	348	439	245	677	217	175	104
Hcst	17	5	5	21	2	5	1
Nfkbid	2	1	3	4	4	2	2
Gm30646	0	2	3	3	5	4	5
Aplp1	8	1	14	3	5	5	6
Nphs1	0	0	1	0	2	1	1
Rps12-ps4	8	13	15	22	28	63	50
Arhgap33	7	1	5	10	7	7	3
Proser3	28	15	16	44	23	14	11
Hspb6	25	16	35	34	21	25	22
Lin37	107	29	86	94	89	67	35
Psenen	458	190	331	380	305	332	160
U2af1l4	3	3	7	8	6	7	4
Gm49396	6	2	6	5	3	0	1
Kmt2b	64	35	36	72	44	45	32
Zbtb32	4	0	2	1	0	0	0
Upk1a	6	0	3	2	1	2	0
Cox6b1	1780	917	1451	1370	1319	1422	963
Gm26610	4	4	6	5	4	5	5
Haus5	16	5	16	14	4	7	2
2200002J24Rik	43	11	16	10	23	17	18
Gm4883	9	6	7	16	15	15	8
Atp4a	21	1	17	12	8	5	4
Tmem147	735	236	523	438	552	581	293
Tmem147os	47	9	50	33	33	37	11
Gapdhs	7	0	1	4	2	2	0
Gm26935	12	7	15	21	12	19	10
Sbsn	633	17	539	28	497	509	382
Dmkn	41	2	34	11	13	31	22
Krtdap	6	0	6	0	2	2	0
Ffar2	4	1	2	4	4	7	1
Ffar1	0	1	0	0	1	1	0
Cd22	8	8	9	16	8	5	4
Gm29439	1	0	0	0	0	0	1
D7Ertd128e	111	2	128	4	358	408	185
Mag	3	1	1	2	2	0	1
Gm44662	0	0	0	0	0	2	1
Hamp2	1	1	2	1	1	1	0
Usf2-ps1	7	2	6	7	5	3	2
Hamp	1	0	1	1	1	4	5
Usf2	180	86	142	171	107	129	69
Gm17077	0	1	0	1	0	0	1
Gm4673	12	1	12	12	10	8	8
Lsr	142	36	150	76	189	148	97
Fam187b	3	1	10	7	10	7	7
Fxyd5	322	54	213	106	199	185	79
Fxyd7	10	0	4	9	2	4	5
Fxyd1	387	512	332	1088	234	202	160
Lgi4	15	13	12	29	5	0	4
Fxyd3	12	1	6	2	2	4	1
Hpn	5	1	1	6	2	1	1
Scn1b	21	7	17	8	14	12	13
Gramd1a	107	42	92	98	66	65	33
G630030J09Rik	3	0	0	0	0	1	0
Gm10640	0	0	0	1	0	0	0
Gm37292	2	2	3	5	0	3	0
Gm9167	1	0	0	0	0	1	0
Gm5732	0	0	0	1	0	0	0
Gm12757	1	0	0	0	1	1	2
Gm12755	2	2	2	2	2	1	2
Gm12760	1	0	0	0	0	1	0
Wtip	45	16	35	44	16	16	15
Uba2	190	99	181	229	166	170	95
Gm12778	24	21	23	31	34	30	17
Pdcd2l	83	52	81	105	73	67	51
Gpi1	663	223	607	512	510	570	332
Gm26762	1	2	0	0	4	1	0
Gm12762	1	0	1	1	0	1	0
Gm12758	22	11	12	18	15	17	13
4931406P16Rik	161	57	132	157	116	123	64
BC060293	4	1	4	8	6	4	4
Gm6096	0	1	0	0	0	0	0
Lsm14a	170	93	140	192	160	118	68
Gm44567	9	1	4	15	14	12	3
Gm12774	2	1	1	1	2	3	1
Gm12764	0	0	1	0	0	0	0
2310043P16Rik	0	1	1	4	1	3	0
Gm12766	0	0	0	0	0	0	0
Gm12784	2	0	0	0	0	0	0
Gm44837	3	0	1	3	0	1	0
Kctd15	31	18	29	24	31	31	15
Gm12781	1	0	0	0	1	2	0
Chst8	38	60	33	125	41	21	14
Pepd	134	54	99	107	97	100	63
Cebpg	68	26	60	66	57	50	23
Gm44836	1	1	0	0	1	1	0
Gm45094	4	1	1	3	1	5	1
Gm45091	8	5	3	5	6	5	1
Cebpa	49	51	23	78	30	26	26
Slc7a10	0	2	2	5	1	1	0
Lrp3	20	13	11	23	16	11	7
Gpatch1	48	20	37	39	41	33	17
Gm44636	6	4	2	7	1	1	0
Rhpn2	15	12	7	19	8	12	4
Faap24	27	7	24	16	25	18	18
Cep89	35	24	40	76	37	28	6
Slc7a9	1	1	0	3	0	0	0
Tdrd12	4	7	6	8	2	0	3
Nudt19	108	54	95	108	84	107	52
B230322F03Rik	2	0	1	3	1	1	0
Rgs9bp	2	0	1	1	3	1	1
Ankrd27	54	31	41	55	42	48	24
Pdcd5	684	339	636	659	656	678	341
Dpy19l3	30	13	29	34	44	22	19
Zfp507	27	25	28	31	27	26	17
Gm26790	1	0	0	0	1	0	0
Rpl17-ps9	223	178	202	377	411	325	102
Gm23292	0	0	1	0	0	1	0
Gm38285	2	0	1	0	0	1	1
Tshz3	24	7	21	19	15	16	6
Gm37452	13	3	16	10	7	1	7
Gm38340	10	1	7	11	12	8	4
E230020A03Rik	8	5	4	17	11	8	2
Gm28078	0	0	1	2	2	2	0
Gm45768	2	2	0	6	0	0	0
6720469O03Rik	0	0	0	4	0	0	0
Zfp536	12	8	3	20	3	4	0
Gm44882	1	0	0	1	0	0	0
Gm44883	1	0	1	2	0	0	1
Uri1	93	48	89	122	66	80	40
Ccne1	12	6	10	12	8	10	3
1600014C10Rik	90	39	69	98	70	76	40
Plekhf1	100	32	70	51	93	115	70
Pop4	175	71	167	205	173	143	67
Gm44767	1	0	0	0	2	0	1
Gm5590	0	0	0	0	0	0	0
Zfp939	7	4	9	13	12	3	1
Gm28455	0	0	0	1	0	0	0
Zfp619	9	5	4	6	3	5	3
Gm44573	0	0	0	0	0	0	0
Gm37494	68	39	57	107	65	61	29
Gm26526	8	3	4	5	11	5	4
Gm2058	4	2	0	5	4	6	3
4930558N11Rik	0	0	0	0	0	0	0
Gm6851	12	15	10	14	9	18	17
Gm28807	1	0	0	2	0	0	0
A230077H06Rik	2	2	0	3	0	0	0
Vstm2b	1	11	0	29	2	2	6
Gm5896	5	4	2	11	1	3	5
AI987944	53	19	42	54	54	35	23
Gm17102	1	0	1	2	0	0	0
Gm20449	1	0	1	1	0	1	0
Gm44521	1	2	0	0	1	2	1
AW146154	16	8	8	23	22	7	3
Gm15470	0	0	2	7	0	1	2
2610021A01Rik	22	12	18	28	22	13	8
Zfp788	23	15	10	48	29	25	7
Gm9252	0	0	0	2	0	0	1
Gm6872	0	0	0	0	0	1	0
Cd9-ps	0	1	0	0	1	0	0
Hmgb1-ps7	6	7	6	11	18	10	12
Gm7224	0	1	0	1	0	0	1
Ccnb1-ps	0	1	1	2	2	2	0
Gm2308	7	0	7	1	1	3	4
Gm6887	0	0	0	0	0	1	1
Zfp141	31	14	23	31	30	35	14
Gm19246	4	2	2	3	4	1	5
Gm44523	1	0	0	1	0	0	0
Gm44997	2	2	0	8	2	1	2
Gm21028	0	0	0	1	0	0	1
Zfp977	1	1	4	1	0	1	0
Zfp976	13	5	8	17	10	4	2
Zfp975	22	11	17	27	16	11	2
Gm18128	1	0	0	1	0	1	0
Gm2381	0	1	0	0	1	0	0
Gm9294	11	5	7	13	9	2	3
Gm9268	3	0	0	0	3	1	0
Zfp936	2	0	2	3	0	0	0
EU599041	1	0	0	0	0	0	0
Zfp715	38	15	27	30	19	22	12
Siglecf	0	1	0	0	0	0	0
Siglecg	4	0	1	0	1	3	2
Nkg7	9	7	3	17	9	3	4
Cldnd2	1	0	0	0	0	0	0
Etfb	61	43	69	87	72	57	27
Gm44816	0	0	0	1	0	0	0
Vsig10l	1	2	2	3	3	1	1
Iglon5	2	1	1	2	0	1	1
Gm9278	1	0	1	0	4	0	1
Cd33	13	3	4	8	3	7	1
Zfp658	9	3	5	11	6	9	1
Zfp719	35	21	30	31	30	36	19
Zfp819	0	1	0	1	0	0	0
Siglece	6	4	1	1	10	5	3
Ctu1	18	17	20	31	21	12	18
2310002F09Rik	0	0	1	0	0	0	0
Klk11	0	0	0	0	0	0	0
Klk8	2	0	3	0	5	4	0
Klk7	0	0	1	0	0	0	0
Klk1b8	1	0	2	0	0	0	0
Klk1b11	0	1	1	1	0	0	0
Klk1b27	8	2	2	10	0	0	0
Klk1b21	8	8	11	15	0	0	0
Klk1b24	19	12	10	46	0	0	0
Klk1b5	0	0	0	1	0	0	0
Klk1	35	13	15	39	7	8	8
1700028J19Rik	4	1	3	4	2	2	1
2410002F23Rik	63	25	55	75	49	45	22
Gm28496	1	0	0	0	0	0	0
Acp4	2	0	1	0	1	0	0
Clec11a	12	9	12	23	11	10	4
Shank1	4	3	3	6	4	2	0
1700008O03Rik	3	1	2	1	2	2	2
Syt3	3	2	2	1	3	0	0
Gm45124	2	1	1	2	1	2	2
Lrrc4b	0	0	0	0	1	0	0
Josd2	74	22	50	56	79	81	52
Mir7052	1	0	0	0	1	0	0
5430431A17Rik	13	3	7	8	7	7	2
Emc10	180	68	139	153	99	96	66
Fam71e1	13	6	4	13	5	5	8
Gm44646	0	0	0	1	2	2	0
Mybpc2	2	1	3	4	1	2	2
Spib	1	1	1	2	0	1	1
Pold1	32	42	35	60	31	26	22
Gm44833	4	2	4	4	0	1	1
Nr1h2	171	64	160	170	130	125	96
0psa	6	9	2	8	4	5	3
Gm15396	3	1	0	1	0	4	1
Kcnc3	3	0	3	0	0	3	1
Myh14	6	3	2	5	2	2	0
Izumo2	0	0	0	0	0	0	0
Zfp473	2	0	1	0	1	1	1
Vrk3	108	43	120	94	99	89	66
Gm29791	0	0	0	2	0	0	0
Atf5	177	31	153	86	152	133	83
Nup62	111	54	78	89	56	60	29
Il4i1	3	0	4	6	3	3	2
Tbc1d17	77	50	71	126	54	53	42
Akt1s1	159	65	128	131	114	121	77
Pnkp	142	54	104	107	98	84	57
Ptov1	311	178	284	381	225	257	154
Med25	146	63	115	131	87	87	54
D7Bwg0826e	1	0	2	0	1	1	0
Fuz	68	23	56	79	53	38	23
Ap2a1	136	30	93	114	52	68	41
Tsks	2	0	1	1	1	0	0
Cpt1c	48	25	40	47	30	29	15
6530437J22Rik	5	1	4	3	4	6	3
Prmt1	485	232	399	531	444	431	215
Gm15545	14	8	22	19	14	12	9
Bcl2l12	42	22	37	55	33	39	20
Irf3	177	69	153	165	163	162	80
Scaf1	122	76	90	137	100	96	59
Mir7054	0	0	0	0	0	0	1
Rras	141	19	107	77	51	59	32
Prr12	80	34	38	74	54	51	27
Prrg2	87	34	88	60	94	85	65
Nosip	163	78	144	177	146	116	107
Rcn3	507	279	445	585	363	377	217
Gm45669	2	1	8	3	1	2	0
Fcgrt	399	174	397	433	423	416	208
Gm45552	2	0	1	1	3	3	1
Rps11	3194	2158	2900	3859	3127	3128	1652
Rpl13a	328	215	231	339	250	262	198
Snord35a	15	7	2	5	5	16	13
Snord34	0	0	0	0	1	1	0
Snord32a	0	0	0	0	0	0	1
Flt3l	8	4	7	10	6	9	3
Aldh16a1	62	29	44	69	53	51	24
Pih1d1	123	46	118	119	128	104	67
Slc17a7	0	0	1	1	0	0	0
