	OvaryPrepubertalDHT1	OvaryPrepubertalDHT2	OvaryPrepubertalDHT3	OvaryPrepubertalDHT4	OvaryPrepubertalCNT2	OvaryPrepubertalCNT3	OvaryPrepubertalCNT4
Gm13315	4	1	3	3	4	3	0
Gm38273	0	2	0	0	0	1	0
Gm13269	5	1	2	1	0	1	0
Gm13316	0	0	0	0	0	0	0
Gm37437	1	0	1	2	1	1	0
Gm37891	1	0	0	0	1	0	0
Nsun6	28	11	26	23	25	24	9
Gm36930	2	1	2	1	1	3	0
Arl5b	53	28	32	72	56	30	11
Gm38257	0	1	1	1	1	1	0
Gm13313	0	1	3	2	3	1	3
Gm13365	1	1	2	0	2	3	2
Plxdc2	216	106	147	301	228	201	111
Nebl	12	2	6	4	9	8	3
A930004D18Rik	8	5	10	9	13	6	6
Skida1	24	5	14	16	17	15	2
1810059C17Rik	3	2	1	1	5	0	2
Mllt10	86	55	78	107	121	114	45
Mir7655	1	0	0	0	0	0	0
Gm25147	0	0	0	0	0	0	0
Gm13351	3	2	1	2	5	3	0
D0jc1	187	78	149	162	159	149	77
Gm13349	7	1	5	8	4	3	2
Gm13352	0	0	0	1	1	0	0
Commd3	350	141	309	320	364	307	185
Bmi1	67	31	44	76	50	50	33
Spag6	0	1	0	0	0	1	1
Gm20539	1	1	1	3	0	0	0
Gm13333	2	0	5	3	3	3	3
Pip4k2a	41	18	42	57	45	45	15
4930426L09Rik	0	1	1	1	1	2	1
Armc3	4	3	0	6	9	6	3
Msrb2	121	71	107	159	139	91	42
Otud1	8	6	6	11	7	11	4
Gm13346	0	0	0	0	0	1	0
Gm13347	0	0	0	1	1	0	0
Etl4	48	37	44	74	63	60	30
Gm13363	2	1	1	3	2	2	0
Gm13328	2	0	0	2	2	0	1
Gm13362	0	0	0	0	1	0	0
Arhgap21	67	23	34	58	37	35	26
Gm13380	0	0	1	0	0	0	0
Gm13375	1	1	2	5	2	1	1
Enkur	1	2	4	4	0	4	0
Thnsl1	11	7	4	19	11	9	2
Gm13378	4	1	2	3	3	3	2
Gpr158	1	0	0	0	1	1	0
Gm13379	0	1	0	0	0	0	0
Gm13337	2	0	0	2	0	1	2
Gm13342	4	1	1	3	1	2	2
Gm13341	349	202	238	433	310	311	381
Gm13340	575	421	417	771	564	513	703
Gm13339	36	14	19	31	36	29	26
Gad2	0	0	1	1	0	1	0
Apbb1ip	13	9	16	17	15	19	13
A130006I12Rik	5	3	3	3	4	0	0
Pdss1	17	13	13	26	16	16	9
Gm14441	0	0	1	0	0	1	0
Abi1	276	92	207	228	189	152	75
Gm13357	1	0	0	0	0	0	0
Acbd5	124	60	97	119	136	86	59
Mastl	17	11	19	21	23	19	12
Yme1l1	165	79	163	170	177	143	75
Gm13423	4	3	3	2	6	4	3
Gm13422	14	4	4	5	14	9	16
Gm38309	4	2	2	7	5	1	0
Spopl	41	25	40	53	34	36	12
Gm13331	4	4	3	4	1	4	5
Gm13392	5	3	2	7	2	2	6
Hnmt	8	31	10	54	10	11	2
Tbpl2	1	1	2	1	1	0	0
Il1f8	0	0	0	0	0	0	0
Gm13410	0	0	0	0	1	0	1
Il1f9	0	0	1	0	1	1	0
Gm13411	0	2	2	1	7	10	3
Il1rn	1	8	2	22	3	3	1
Psd4	7	19	12	37	4	10	5
Pax8	0	0	0	0	0	0	0
Gm13418	4	3	1	1	0	0	2
Gm13416	1	0	0	1	1	2	1
Cac01b	1	0	0	1	0	0	0
Ehmt1	117	54	90	155	67	67	49
Gm38147	0	0	1	0	1	0	0
Gm37139	0	3	0	3	3	0	0
Arrdc1	46	22	51	42	51	43	15
Zmynd19	53	34	48	81	34	34	17
Dph7	32	21	14	48	42	22	19
Mrpl41	212	91	198	187	176	181	91
Pnpla7	65	31	58	75	34	38	28
Gm13370	91	54	65	105	96	72	47
Gm13369	9	9	7	21	13	4	4
Nsmf	85	33	51	77	48	46	30
Gm13387	0	0	0	0	1	1	0
Nrarp	30	9	28	16	22	29	13
Gm38287	0	0	0	0	0	0	0
Tor4a	38	9	42	36	27	43	12
Nelfb	120	62	98	109	88	97	55
Tubb4b	479	229	429	470	528	539	293
Rnf208	5	1	0	1	4	4	2
Ndor1	5	1	2	5	4	3	0
Tmem203	57	25	52	47	41	55	17
Tprn	7	2	6	13	13	6	7
Ss01	222	89	220	218	226	217	107
A0pc2	144	74	116	130	95	97	64
Lrrc26	0	0	0	0	0	1	0
Grin1	8	2	5	0	2	2	0
AA543186	7	0	3	5	6	7	2
Man1b1	105	37	90	101	73	69	36
Gm25220	1	0	3	1	2	3	0
Dpp7	112	52	99	105	65	56	41
Uap1l1	54	35	45	59	57	45	28
Sapcd2	4	9	7	15	5	7	6
Entpd2	7	3	4	18	4	7	0
Npdc1	214	89	155	240	130	164	91
Fut7	0	1	0	0	0	0	0
Abca2	48	25	53	56	44	45	22
Paxx	57	29	30	57	45	44	35
Clic3	3	1	7	4	25	19	9
Ptgds	176	266	123	410	29	71	28
Lcn12	0	0	0	1	0	0	0
C8g	6	5	5	13	1	5	5
Fbxw5	234	84	211	174	122	121	62
Traf2	58	8	48	44	59	52	24
Gm13433	1	0	2	0	3	2	1
Edf1	743	274	640	551	700	691	426
Mamdc4	18	6	8	9	5	2	3
Phpt1	14	8	10	16	9	10	10
Gm996	6	1	2	2	4	3	0
Gm26702	1	0	1	1	3	1	0
Rabl6	107	50	102	121	84	90	57
Fc0os	30	1	25	1	17	47	30
Tmem141	204	30	171	79	141	171	88
Fc0	6	3	12	4	13	12	7
Lcn8	0	0	1	0	0	1	1
Obp2a	0	0	0	1	0	1	0
A230005M16Rik	3	4	1	3	0	3	4
Bmyc	170	97	145	216	138	142	83
Sohlh1	7	1	1	5	2	5	0
Kcnt1	32	23	31	41	15	15	9
Camsap1	73	38	60	76	59	52	31
Gm13542	1	0	0	0	1	0	0
Ubac1	59	23	46	45	48	38	29
0cc2	93	36	74	94	87	72	36
Gm13554	0	0	0	0	0	0	1
Tmem250-ps	51	24	30	68	57	51	29
1810012K08Rik	0	0	0	0	2	1	0
Qsox2	42	10	29	28	29	28	11
Ccdc187	4	5	6	11	3	4	1
Gpsm1	56	53	65	145	57	47	35
Dnlz	115	54	78	93	90	92	36
Card9	4	2	2	4	0	0	0
Gm13562	1	1	1	1	2	0	0
S0pc4	26	6	15	24	18	8	6
Gm13563	5	0	0	2	1	5	1
Sdccag3	83	26	58	51	60	64	52
Pmpca	220	90	189	174	207	179	106
Inpp5e	25	15	26	39	24	25	5
Sec16a	77	34	97	91	64	65	40
0610009E02Rik	6	5	5	13	7	8	5
Gm13568	0	0	0	0	0	1	0
Notch1	47	18	32	28	34	31	25
